,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
584,normal_normal_LU_C_64_1,343.9359588623047,338.10394287109375,3254.806854248047,3247.3656005859375,2019-06-07 09:31:29.854,2019-06-07 09:31:55.882,1,7184.212356567383,14368.424713134766,allmodes,26.028,532.1638782642506,normal,normal,LU,C,64,normal normal
669,normal_normal_LU_C_64_2,361.37984466552734,347.3118896484375,3361.9782104492188,3352.886688232422,2019-06-07 09:31:58.888,2019-06-07 09:32:25.918,2,7423.5566329956055,14847.113265991211,allmodes,27.03,530.2540452139718,normal,normal,LU,C,64,normal normal
757,normal_normal_LU_C_64_3,360.15553283691406,346.39244842529297,3363.3746032714844,3353.8672790527344,2019-06-07 09:32:28.925,2019-06-07 09:32:55.954,3,7423.789863586426,14847.579727172852,allmodes,27.029,530.2707045418875,normal,normal,LU,C,64,normal normal
847,normal_normal_LU_C_64_4,351.25012969970703,336.43636322021484,3258.8206787109375,3255.752410888672,2019-06-07 09:32:59.959,2019-06-07 09:33:25.988,4,7202.259582519531,14404.519165039062,allmodes,26.029,533.5007098162615,normal,normal,LU,C,64,normal normal
934,normal_normal_LU_C_64_5,365.20487213134766,345.9872131347656,3380.027862548828,3377.347137451172,2019-06-07 09:33:29.994,2019-06-07 09:33:57.022,5,7468.567085266113,14937.134170532227,allmodes,27.028,533.4690775190081,normal,normal,LU,C,64,normal normal
1022,normal_normal_LU_C_64_6,363.6489715576172,350.5201644897461,3383.2161560058594,3377.5257873535156,2019-06-07 09:34:00.027,2019-06-07 09:34:27.056,6,7474.911079406738,14949.822158813477,allmodes,27.029,533.9222199576242,normal,normal,LU,C,64,normal normal
1110,normal_normal_LU_C_64_7,369.26952362060547,346.1424102783203,3382.181884765625,3373.647247314453,2019-06-07 09:34:30.062,2019-06-07 09:34:57.092,7,7471.241065979004,14942.482131958008,allmodes,27.03,533.6600761413574,normal,normal,LU,C,64,normal normal
1198,normal_normal_LU_C_64_8,367.014892578125,351.13356018066406,3376.5560302734375,3365.5262145996094,2019-06-07 09:35:00.098,2019-06-07 09:35:27.129,8,7460.230697631836,14920.461395263672,allmodes,27.031,532.8736212594168,normal,normal,LU,C,64,normal normal
1286,normal_normal_LU_C_64_9,363.68438720703125,357.0675277709961,3379.3823852539062,3372.743621826172,2019-06-07 09:35:30.134,2019-06-07 09:35:57.166,9,7472.8779220581055,14945.755844116211,allmodes,27.032,533.7769944327218,normal,normal,LU,C,64,normal normal
1374,normal_normal_LU_C_64_10,354.8301773071289,338.8110046386719,3258.840087890625,3252.9342346191406,2019-06-07 09:36:00.171,2019-06-07 09:36:26.201,10,7205.415504455566,14410.831008911133,allmodes,26.03,533.7344818115234,normal,normal,LU,C,64,normal normal
