,Unnamed: 0,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
0,592,normal_normal_LU_C_64_1,342.3991775512696,372.1212005615234,3376.6618041992188,3383.335327148437,2019-06-07 09:17:41.231,2019-06-07 09:18:08.258,1,714.520378112793,6759.997131347656,allmodes,27.026999999999997,241.428468976702,normal,normal,LU,C,64,normal normal
1,680,normal_normal_LU_C_64_2,348.20313262939453,369.7303466796875,3361.708282470703,3369.624053955078,2019-06-07 09:18:11.263,2019-06-07 09:18:38.309,2,717.933479309082,6731.332336425781,allmodes,27.046,240.40472630092083,normal,normal,LU,C,64,normal normal
2,769,normal_normal_LU_C_64_3,336.38632965087885,356.7479782104492,3252.055938720703,3259.1333618164062,2019-06-07 09:18:41.315,2019-06-07 09:19:07.343,3,693.1343078613281,6511.189300537109,allmodes,26.028000000000002,241.15515927915217,normal,normal,LU,C,64,normal normal
3,856,normal_normal_LU_C_64_4,339.9526824951172,360.02813720703125,3256.3885498046875,3259.8234252929688,2019-06-07 09:19:11.348,2019-06-07 09:19:37.377,4,699.9808197021484,6516.211975097656,allmodes,26.029,241.34118426287617,normal,normal,LU,C,64,normal normal
4,940,normal_normal_LU_C_64_5,352.39253997802734,367.60227966308594,3358.213256835937,3365.5929565429688,2019-06-07 09:19:40.383,2019-06-07 09:20:07.413,5,719.9948196411133,6723.806213378906,allmodes,27.03,240.1359361921038,normal,normal,LU,C,64,normal normal
5,1028,normal_normal_LU_C_64_6,350.48211669921875,373.1986923217773,3362.2330017089844,3372.6808471679688,2019-06-07 09:20:10.418,2019-06-07 09:20:37.447,6,723.6808090209961,6734.913848876953,allmodes,27.029,240.5326374598912,normal,normal,LU,C,64,normal normal
6,1116,normal_normal_LU_C_64_7,354.4400329589844,367.874641418457,3365.231964111328,3372.4178771972656,2019-06-07 09:20:40.452,2019-06-07 09:21:07.479,7,722.3146743774414,6737.649841308594,allmodes,27.026999999999997,240.6303514753069,normal,normal,LU,C,64,normal normal
7,1204,normal_normal_LU_C_64_8,342.4782791137696,361.669189453125,3253.0103759765625,3258.5855712890625,2019-06-07 09:21:10.483,2019-06-07 09:21:36.510,8,704.1474685668945,6511.595947265625,allmodes,26.026999999999997,241.17022026909726,normal,normal,LU,C,64,normal normal
8,1291,normal_normal_LU_C_64_9,342.66319274902344,361.8645935058594,3255.9426879882812,3258.3995971679688,2019-06-07 09:21:40.516,2019-06-07 09:22:06.544,9,704.5277862548828,6514.34228515625,allmodes,26.028000000000002,241.27193648726848,normal,normal,LU,C,64,normal normal
9,1378,normal_normal_LU_C_64_10,345.5449752807617,356.91900634765625,3256.147918701172,3258.396453857422,2019-06-07 09:22:10.549,2019-06-07 09:22:36.575,10,702.463981628418,6514.544372558594,allmodes,26.026,241.27942120587383,normal,normal,LU,C,64,normal normal
10,1464,normal_normal_LU_C_64_11,358.15061950683594,371.3738098144531,3361.122894287109,3368.1187744140625,2019-06-07 09:22:39.580,2019-06-07 09:23:06.610,11,729.5244293212891,6729.241668701172,allmodes,27.03,240.33005959647042,normal,normal,LU,C,64,normal normal
11,1551,normal_normal_LU_C_64_12,345.58641052246094,356.42144775390625,3254.7821350097656,3259.4075317382812,2019-06-07 09:23:09.615,2019-06-07 09:23:35.642,12,702.0078582763672,6514.189666748047,allmodes,26.026999999999997,241.26628395363136,normal,normal,LU,C,64,normal normal
12,1638,normal_normal_LU_C_64_13,347.48948669433594,356.9484100341797,3256.633178710937,3259.2989501953125,2019-06-07 09:23:39.647,2019-06-07 09:24:05.673,13,704.4378967285156,6515.93212890625,allmodes,26.026,241.3308195891204,normal,normal,LU,C,64,normal normal
13,1723,normal_normal_LU_C_64_14,362.9780044555664,370.3644332885742,3361.2842407226562,3367.174560546875,2019-06-07 09:24:08.679,2019-06-07 09:24:35.706,14,733.3424377441406,6728.458801269531,allmodes,27.026999999999997,240.3021000453404,normal,normal,LU,C,64,normal normal
14,1811,normal_normal_LU_C_64_15,347.6166534423828,356.8861999511719,3255.524139404297,3259.0367126464844,2019-06-07 09:24:38.711,2019-06-07 09:25:04.738,15,704.5028533935547,6514.560852050781,allmodes,26.026999999999997,241.28003155743636,normal,normal,LU,C,64,normal normal
15,1898,normal_normal_LU_C_64_16,346.02506256103516,358.3641357421875,3256.230682373047,3259.1102905273438,2019-06-07 09:25:08.744,2019-06-07 09:25:34.770,16,704.3891983032228,6515.340972900391,allmodes,26.026,241.30892492223668,normal,normal,LU,C,64,normal normal
16,1985,normal_normal_LU_C_64_17,349.0651168823242,357.05323028564453,3256.6671142578125,3259.7254638671875,2019-06-07 09:25:38.775,2019-06-07 09:26:04.807,17,706.1183471679688,6516.392578125,allmodes,26.031999999999996,241.34787326388889,normal,normal,LU,C,64,normal normal
17,2070,normal_normal_LU_C_64_18,360.3297882080078,369.53656005859375,3358.018096923828,3364.7600708007812,2019-06-07 09:26:07.813,2019-06-07 09:26:34.841,18,729.8663482666016,6722.778167724609,allmodes,27.028000000000002,240.0992202758789,normal,normal,LU,C,64,normal normal
18,2158,normal_normal_LU_C_64_19,360.7760543823242,370.2366485595703,3365.1551818847656,3371.5324096679688,2019-06-07 09:26:37.847,2019-06-07 09:27:04.876,19,731.0127029418945,6736.687591552734,allmodes,27.029,240.59598541259768,normal,normal,LU,C,64,normal normal
