,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
160,normal_normal_LU_C_64_1,373.64183044433594,336.7505340576172,3256.6300354003906,3254.684051513672,2019-07-22 12:25:14.427,2019-07-22 12:25:40.447,1,7221.706451416016,14443.412902832031,gen,26.02,534.9412186234085,normal,normal,LU,C,64,normal normal
247,normal_normal_LU_C_64_2,375.76995849609375,335.3186340332031,3256.8907165527344,3255.4356689453125,2019-07-22 12:25:44.453,2019-07-22 12:26:10.479,2,7223.414978027344,14446.829956054688,gen,26.026,535.0677761501736,normal,normal,LU,C,64,normal normal
334,normal_normal_LU_C_64_3,376.56475830078125,337.1712646484375,3257.126251220703,3257.063232421875,2019-07-22 12:26:14.490,2019-07-22 12:26:40.518,3,7227.925506591797,14455.851013183594,gen,26.028,535.4018893771702,normal,normal,LU,C,64,normal normal
421,normal_normal_LU_C_64_4,373.60791778564453,339.07659912109375,3258.3152465820312,3257.605224609375,2019-07-22 12:26:44.524,2019-07-22 12:27:10.550,4,7228.6049880981445,14457.209976196289,gen,26.026,535.4522213406033,normal,normal,LU,C,64,normal normal
508,normal_normal_LU_C_64_5,380.40564727783203,337.9215774536133,3257.8595581054688,3257.588409423828,2019-07-22 12:27:14.555,2019-07-22 12:27:40.581,5,7233.775192260742,14467.550384521484,gen,26.026,535.8351994267216,normal,normal,LU,C,64,normal normal
595,normal_normal_LU_C_64_6,379.51822662353516,342.2380065917969,3254.710174560547,3255.3890686035156,2019-07-22 12:27:44.588,2019-07-22 12:28:10.625,6,7231.8554763793945,14463.710952758789,gen,26.037,535.6929982503256,normal,normal,LU,C,64,normal normal
680,normal_normal_LU_C_64_7,388.7522735595703,354.4672546386719,3376.214599609375,3373.0779418945312,2019-07-22 12:28:13.629,2019-07-22 12:28:40.659,7,7492.512069702148,14985.024139404297,gen,27.03,535.1794335501535,normal,normal,LU,C,64,normal normal
768,normal_normal_LU_C_64_8,379.0499572753906,336.9824447631836,3259.9656982421875,3258.3335876464844,2019-07-22 12:28:43.666,2019-07-22 12:29:09.694,8,7234.331687927246,14468.663375854492,gen,26.028,535.8764213279442,normal,normal,LU,C,64,normal normal
855,normal_normal_LU_C_64_9,378.8031768798828,339.9972915649414,3259.36962890625,3259.2959594726562,2019-07-22 12:29:13.699,2019-07-22 12:29:39.730,9,7237.4660568237305,14474.932113647461,gen,26.031,536.1085968017578,normal,normal,LU,C,64,normal normal
940,normal_normal_LU_C_64_10,393.8585739135742,349.9137191772461,3372.666534423828,3369.34033203125,2019-07-22 12:29:42.735,2019-07-22 12:30:09.773,10,7485.779159545898,14971.558319091797,gen,27.038,534.6985113961356,normal,normal,LU,C,64,normal normal
1028,normal_normal_LU_C_64_11,392.32735443115234,350.9043655395508,3370.5506286621094,3367.4266052246094,2019-07-22 12:30:12.779,2019-07-22 12:30:39.810,11,7481.208953857422,14962.417907714844,gen,27.031,534.372068132673,normal,normal,LU,C,64,normal normal
1116,normal_normal_LU_C_64_12,381.78941345214844,337.6191940307617,3259.7601928710938,3258.1307373046875,2019-07-22 12:30:42.815,2019-07-22 12:31:08.846,12,7237.299537658691,14474.599075317383,gen,26.031,536.0962620487919,normal,normal,LU,C,64,normal normal
1203,normal_normal_LU_C_64_13,402.64322662353516,343.1844482421875,3382.384552001953,3381.4296264648438,2019-07-22 12:31:12.853,2019-07-22 12:31:39.883,13,7509.6418533325195,15019.283706665039,gen,27.03,536.4029895237514,normal,normal,LU,C,64,normal normal
1291,normal_normal_LU_C_64_14,392.47928619384766,353.723876953125,3375.695068359375,3372.6988220214844,2019-07-22 12:31:42.888,2019-07-22 12:32:09.919,14,7494.597053527832,14989.194107055664,gen,27.031,535.3283609662737,normal,normal,LU,C,64,normal normal
1379,normal_normal_LU_C_64_15,391.82130432128906,355.3719253540039,3376.37255859375,3373.9176025390625,2019-07-22 12:32:12.923,2019-07-22 12:32:39.956,15,7497.4833908081055,14994.966781616211,gen,27.033,535.5345279148647,normal,normal,LU,C,64,normal normal
1467,normal_normal_LU_C_64_16,403.15084075927734,342.7469940185547,3383.8450927734375,3382.1118774414062,2019-07-22 12:32:42.962,2019-07-22 12:33:09.996,16,7511.854804992676,15023.709609985352,gen,27.034,536.5610574994769,normal,normal,LU,C,64,normal normal
1555,normal_normal_LU_C_64_17,394.42413330078125,350.90247344970703,3370.1184692382812,3367.11865234375,2019-07-22 12:33:13.000,2019-07-22 12:33:40.030,17,7482.5637283325195,14965.127456665039,gen,27.03,534.4688377380371,normal,normal,LU,C,64,normal normal
1643,normal_normal_LU_C_64_18,396.6659851074219,350.9802780151367,3374.7544860839844,3374.7802124023438,2019-07-22 12:33:43.036,2019-07-22 12:34:10.067,18,7497.180961608887,14994.361923217773,gen,27.031,535.5129258292062,normal,normal,LU,C,64,normal normal
1731,normal_normal_LU_C_64_19,396.3472213745117,347.91969299316406,3374.266387939453,3367.8509826660156,2019-07-22 12:34:13.071,2019-07-22 12:34:40.106,19,7486.3842849731445,14972.768569946289,gen,27.035,534.741734640939,normal,normal,LU,C,64,normal normal
1820,normal_normal_LU_C_64_20,396.39520263671875,349.5027313232422,3374.8430786132812,3370.2215576171875,2019-07-22 12:34:43.111,2019-07-22 12:35:10.142,20,7490.96257019043,14981.92514038086,gen,27.031,535.0687550136021,normal,normal,LU,C,64,normal normal
1907,normal_normal_LU_C_64_21,396.4268493652344,344.22537994384766,3376.0785522460938,3372.4368896484375,2019-07-22 12:35:13.147,2019-07-22 12:35:40.180,21,7489.167671203613,14978.335342407227,gen,27.033,534.9405479431152,normal,normal,LU,C,64,normal normal
1995,normal_normal_LU_C_64_22,394.4159393310547,351.6154479980469,3369.9495849609375,3366.2989196777344,2019-07-22 12:35:43.186,2019-07-22 12:36:10.217,22,7482.279891967773,14964.559783935547,gen,27.031,534.4485637119839,normal,normal,LU,C,64,normal normal
2083,normal_normal_LU_C_64_23,396.49664306640625,346.8344039916992,3381.7159729003906,3378.6731872558594,2019-07-22 12:36:13.222,2019-07-22 12:36:40.252,23,7503.7202072143555,15007.440414428711,gen,27.03,535.9800148010254,normal,normal,LU,C,64,normal normal
2171,normal_normal_LU_C_64_24,397.3838882446289,348.49193572998047,3378.738037109375,3375.4856567382812,2019-07-22 12:36:43.258,2019-07-22 12:37:10.288,24,7500.099517822266,15000.199035644531,gen,27.03,535.7213941301618,normal,normal,LU,C,64,normal normal
2259,normal_normal_LU_C_64_25,394.43260955810547,352.6683654785156,3374.51513671875,3372.5857849121094,2019-07-22 12:37:13.294,2019-07-22 12:37:40.322,25,7494.2018966674805,14988.403793334961,gen,27.028,535.3001354762486,normal,normal,LU,C,64,normal normal
2347,normal_normal_LU_C_64_26,398.5322570800781,348.2808837890625,3381.466583251953,3377.845428466797,2019-07-22 12:37:43.328,2019-07-22 12:38:10.363,26,7506.125152587891,15012.250305175781,gen,27.035,536.1517966134207,normal,normal,LU,C,64,normal normal
2435,normal_normal_LU_C_64_27,397.44812774658203,344.6705551147461,3379.0946044921875,3375.565948486328,2019-07-22 12:38:13.369,2019-07-22 12:38:40.403,27,7496.779235839844,14993.558471679688,gen,27.034,535.4842311314175,normal,normal,LU,C,64,normal normal
2523,normal_normal_LU_C_64_28,399.71912384033203,345.62935638427734,3368.2679138183594,3362.9430541992188,2019-07-22 12:38:43.408,2019-07-22 12:39:10.438,28,7476.5594482421875,14953.118896484375,gen,27.03,534.0399605887277,normal,normal,LU,C,64,normal normal
2611,normal_normal_LU_C_64_29,396.2501220703125,349.13551330566406,3368.2156677246094,3362.7349853515625,2019-07-22 12:39:13.443,2019-07-22 12:39:40.478,29,7476.336288452148,14952.672576904297,gen,27.035,534.0240206037249,normal,normal,LU,C,64,normal normal
2699,normal_normal_LU_C_64_30,396.7666702270508,348.0288619995117,3373.6867065429688,3370.797149658203,2019-07-22 12:39:43.484,2019-07-22 12:40:10.517,30,7489.279388427734,14978.558776855469,gen,27.033,534.9485277448382,normal,normal,LU,C,64,normal normal
2987,normal_normal_CG_C_32_1,224.3188705444336,44.53425598144531,1495.2618103027344,527.0058898925781,2019-07-22 12:41:53.579,2019-07-22 12:42:05.597,1,2291.1208267211914,4582.241653442383,gen,12.018,352.4801271878756,normal,normal,CG,C,32,normal normal
3030,normal_normal_CG_C_32_2,209.07393646240234,40.854766845703125,1385.3661804199219,486.28436279296875,2019-07-22 12:42:08.602,2019-07-22 12:42:19.611,2,2121.579246520996,4243.158493041992,gen,11.009,353.5965410868327,normal,normal,CG,C,32,normal normal
3070,normal_normal_CG_C_32_3,224.2584228515625,44.75469207763672,1494.1852722167969,528.765625,2019-07-22 12:42:22.616,2019-07-22 12:42:34.628,3,2291.964012145996,4583.928024291992,gen,12.012,352.60984802246094,normal,normal,CG,C,32,normal normal
3113,normal_normal_CG_C_32_4,207.47328186035156,40.89380645751953,1385.6280212402344,476.54156494140625,2019-07-22 12:42:37.633,2019-07-22 12:42:48.646,4,2110.5366744995117,4221.073348999023,gen,11.013,351.75611241658527,normal,normal,CG,C,32,normal normal
3155,normal_normal_CG_C_32_5,209.65872192382812,40.85932159423828,1385.764404296875,466.9228820800781,2019-07-22 12:42:52.653,2019-07-22 12:43:03.662,5,2103.2053298950195,4206.410659790039,gen,11.009,350.5342216491699,normal,normal,CG,C,32,normal normal
3195,normal_normal_CG_C_32_6,224.44639587402344,44.707237243652344,1498.438232421875,511.4433898925781,2019-07-22 12:43:06.667,2019-07-22 12:43:18.687,6,2279.035255432129,4558.070510864258,gen,12.02,350.62080852801984,normal,normal,CG,C,32,normal normal
3238,normal_normal_CG_C_32_7,208.8770523071289,40.992279052734375,1386.5817260742188,468.6496276855469,2019-07-22 12:43:21.691,2019-07-22 12:43:32.701,7,2105.100685119629,4210.201370239258,gen,11.01,350.8501141866048,normal,normal,CG,C,32,normal normal
3278,normal_normal_CG_C_32_8,223.842529296875,44.73278045654297,1497.5150451660156,507.54034423828125,2019-07-22 12:43:35.706,2019-07-22 12:43:47.717,8,2273.630699157715,4547.26139831543,gen,12.011,349.7893383319561,normal,normal,CG,C,32,normal normal
3321,normal_normal_CG_C_32_9,224.07652282714844,44.735633850097656,1501.7244567871094,510.4403991699219,2019-07-22 12:43:50.722,2019-07-22 12:44:02.736,9,2280.9770126342773,4561.954025268555,gen,12.014,350.91954040527344,normal,normal,CG,C,32,normal normal
3364,normal_normal_CG_C_32_10,208.72372436523438,40.905731201171875,1385.6141357421875,464.27935791015625,2019-07-22 12:44:05.742,2019-07-22 12:44:16.751,10,2099.52294921875,4199.0458984375,gen,11.009,349.9204915364583,normal,normal,CG,C,32,normal normal
3404,normal_normal_CG_C_32_11,223.63165283203125,44.684059143066406,1503.0600280761719,509.3888854980469,2019-07-22 12:44:19.756,2019-07-22 12:44:31.775,11,2280.7646255493164,4561.529251098633,gen,12.019,350.8868654691256,normal,normal,CG,C,32,normal normal
3447,normal_normal_CG_C_32_12,223.65953826904297,44.6954345703125,1504.80029296875,509.5479431152344,2019-07-22 12:44:34.780,2019-07-22 12:44:46.793,12,2282.70320892334,4565.40641784668,gen,12.013,351.1851090651292,normal,normal,CG,C,32,normal normal
3490,normal_normal_CG_C_32_13,207.32994079589844,40.9278564453125,1387.2694091796875,472.603515625,2019-07-22 12:44:49.799,2019-07-22 12:45:00.808,13,2108.1307220458984,4216.261444091797,gen,11.009,351.3551203409831,normal,normal,CG,C,32,normal normal
3532,normal_normal_CG_C_32_14,209.0792236328125,40.91355895996094,1386.0276184082031,462.9739685058594,2019-07-22 12:45:04.814,2019-07-22 12:45:15.824,14,2098.994369506836,4197.988739013672,gen,11.01,349.83239491780597,normal,normal,CG,C,32,normal normal
3572,normal_normal_CG_C_32_15,224.53588104248047,44.87195587158203,1501.5223693847656,512.7649536132812,2019-07-22 12:45:18.829,2019-07-22 12:45:30.845,15,2283.6951599121094,4567.390319824219,gen,12.016,351.3377169095553,normal,normal,CG,C,32,normal normal
3615,normal_normal_CG_C_32_16,208.38831329345703,40.96717834472656,1386.9367065429688,462.79595947265625,2019-07-22 12:45:33.850,2019-07-22 12:45:44.859,16,2099.0881576538086,4198.176315307617,gen,11.009,349.84802627563477,normal,normal,CG,C,32,normal normal
3658,normal_normal_CG_C_32_17,208.80445861816406,40.892852783203125,1384.3606567382812,460.40850830078125,2019-07-22 12:45:48.865,2019-07-22 12:45:59.874,17,2094.4664764404297,4188.932952880859,gen,11.009,349.07774607340497,normal,normal,CG,C,32,normal normal
3697,normal_normal_CG_C_32_18,224.56751251220703,44.70447540283203,1504.5844421386719,531.1316223144531,2019-07-22 12:46:02.880,2019-07-22 12:46:14.891,18,2304.988052368164,4609.976104736328,gen,12.011,354.6135465181791,normal,normal,CG,C,32,normal normal
3740,normal_normal_CG_C_32_19,207.52074432373047,40.927223205566406,1387.3880615234375,462.6841125488281,2019-07-22 12:46:17.897,2019-07-22 12:46:28.905,19,2098.5201416015625,4197.040283203125,gen,11.008,349.75335693359375,normal,normal,CG,C,32,normal normal
3782,normal_normal_CG_C_32_20,209.49398040771484,40.97075653076172,1386.7965698242188,509.3663024902344,2019-07-22 12:46:32.910,2019-07-22 12:46:43.917,20,2146.6276092529297,4293.255218505859,gen,11.007,357.7712682088216,normal,normal,CG,C,32,normal normal
3822,normal_normal_CG_C_32_21,225.08551788330078,44.976646423339844,1505.6155395507812,507.38507080078125,2019-07-22 12:46:46.922,2019-07-22 12:46:58.936,21,2283.062774658203,4566.125549316406,gen,12.014,351.2404268704928,normal,normal,CG,C,32,normal normal
3866,normal_normal_CG_C_32_22,208.5917739868164,40.92445373535156,1386.5665893554688,453.8397216796875,2019-07-22 12:47:01.942,2019-07-22 12:47:12.951,22,2089.922538757324,4179.845077514648,gen,11.009,348.3204231262207,normal,normal,CG,C,32,normal normal
3907,normal_normal_CG_C_32_23,209.6203155517578,40.894447326660156,1382.098388671875,445.8556213378906,2019-07-22 12:47:16.957,2019-07-22 12:47:27.966,23,2078.4687728881836,4156.937545776367,gen,11.009,346.4114621480306,normal,normal,CG,C,32,normal normal
3948,normal_normal_CG_C_32_24,224.74205017089844,44.69731140136719,1512.0201110839844,491.53643798828125,2019-07-22 12:47:30.971,2019-07-22 12:47:42.984,24,2272.9959106445312,4545.9918212890625,gen,12.013,349.69167856069714,normal,normal,CG,C,32,normal normal
3990,normal_normal_CG_C_32_25,207.91928100585938,40.95936584472656,1388.3183288574219,489.92242431640625,2019-07-22 12:47:45.991,2019-07-22 12:47:56.999,25,2127.119400024414,4254.238800048828,gen,11.008,354.51990000406903,normal,normal,CG,C,32,normal normal
4032,normal_normal_CG_C_32_26,209.74337768554688,40.93913269042969,1387.3607177734375,447.9817199707031,2019-07-22 12:48:01.005,2019-07-22 12:48:12.014,26,2086.024948120117,4172.049896240234,gen,11.009,347.6708246866862,normal,normal,CG,C,32,normal normal
4072,normal_normal_CG_C_32_27,223.58131408691406,44.78643798828125,1499.3638610839844,489.70184326171875,2019-07-22 12:48:15.019,2019-07-22 12:48:27.029,27,2257.4334564208984,4514.866912841797,gen,12.01,347.2974548339844,normal,normal,CG,C,32,normal normal
4115,normal_normal_CG_C_32_28,223.5967559814453,44.72019958496094,1502.8333740234375,491.55322265625,2019-07-22 12:48:30.035,2019-07-22 12:48:42.045,28,2262.7035522460938,4525.4071044921875,gen,12.01,348.10823880709137,normal,normal,CG,C,32,normal normal
4158,normal_normal_CG_C_32_29,224.9578094482422,44.76106262207031,1504.1666259765625,489.9670104980469,2019-07-22 12:48:45.051,2019-07-22 12:48:57.063,29,2263.852508544922,4527.705017089844,gen,12.012,348.2850013146034,normal,normal,CG,C,32,normal normal
4201,normal_normal_CG_C_32_30,225.59432220458984,44.79570007324219,1504.2655334472656,523.8656921386719,2019-07-22 12:49:00.067,2019-07-22 12:49:12.081,30,2298.5212478637695,4597.042495727539,gen,12.014,353.618653517503,normal,normal,CG,C,32,normal normal
4445,normal_normal_EP_B_1_1,585.7138595581055,247.85643005371094,4254.377624511719,3283.1492614746094,2019-07-22 12:50:55.140,2019-07-22 12:52:02.194,1,8371.097175598145,16742.19435119629,gen,67.054,246.20874045876894,normal,normal,EP,B,1,normal normal
4652,normal_normal_EP_B_1_2,603.5276718139648,259.10620880126953,4443.591125488281,3516.0781860351562,2019-07-22 12:52:05.198,2019-07-22 12:53:15.244,2,8822.303192138672,17644.606384277344,gen,70.046,248.51558287714568,normal,normal,EP,B,1,normal normal
4872,normal_normal_EP_B_1_3,608.404655456543,262.7141342163086,4531.1134033203125,3605.7301330566406,2019-07-22 12:53:19.250,2019-07-22 12:54:30.306,3,9007.962326049805,18015.92465209961,gen,71.056,250.22117572360568,normal,normal,EP,B,1,normal normal
5091,normal_normal_EP_B_1_4,599.3240966796875,259.31199645996094,4474.628967285156,3547.2308959960938,2019-07-22 12:54:33.310,2019-07-22 12:55:43.366,4,8880.495956420898,17760.991912841797,gen,70.056,250.15481567382812,normal,normal,EP,B,1,normal normal
5309,normal_normal_EP_B_1_5,649.9270401000977,285.94791412353516,4932.599456787109,3981.0039672851562,2019-07-22 12:55:46.374,2019-07-22 12:57:02.423,5,9849.478378295898,19698.956756591797,gen,76.049,255.83060722846488,normal,normal,EP,B,1,normal normal
5544,normal_normal_EP_B_1_6,572.4176177978516,248.16847229003906,4339.699279785156,3331.7030029296875,2019-07-22 12:57:05.427,2019-07-22 12:58:12.483,6,8491.988372802734,16983.97674560547,gen,67.056,249.76436390596277,normal,normal,EP,B,1,normal normal
