,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
1543,normal_test_EP_C_32_1,95.22438049316406,84.7225570678711,1304.3836059570312,1167.6986389160156,2019-08-05 11:18:26.327,2019-08-05 11:18:38.333,1,2652.029182434082,5304.058364868164,optxDahu1xcg,12.006,408.0044896052434,normal,test,EP,C,32,normal test
1587,normal_test_EP_C_32_2,94.83479309082031,85.43834686279297,1219.3523559570312,1281.8402099609375,2019-08-05 11:18:42.338,2019-08-05 11:18:54.344,2,2681.465705871582,5362.931411743164,optxDahu1xcg,12.006,412.53318551870495,normal,test,EP,C,32,normal test
1630,normal_test_EP_C_32_3,103.09215545654297,91.42166900634766,1425.3074645996094,1292.4107360839844,2019-08-05 11:18:57.349,2019-08-05 11:19:10.355,3,2912.2320251464844,5824.464050292969,optxDahu1xcg,13.006,416.0331464494978,normal,test,EP,C,32,normal test
1676,normal_test_EP_C_32_4,96.01313018798828,85.38406372070312,1343.5077514648438,1224.4555969238281,2019-08-05 11:19:13.361,2019-08-05 11:19:25.367,4,2749.3605422973633,5498.721084594727,optxDahu1xcg,12.006,422.97854496882513,normal,test,EP,C,32,normal test
1719,normal_test_EP_C_32_5,95.86888885498047,85.75873565673828,1244.4948120117188,1296.9024658203125,2019-08-05 11:19:28.372,2019-08-05 11:19:40.379,5,2723.02490234375,5446.0498046875,optxDahu1xcg,12.007,418.92690805288464,normal,test,EP,C,32,normal test
1762,normal_test_EP_C_32_6,96.15138244628906,85.43356323242188,1264.2677001953125,1287.6305847167969,2019-08-05 11:19:43.384,2019-08-05 11:19:55.391,6,2733.4832305908203,5466.966461181641,optxDahu1xcg,12.007,420.535881629357,normal,test,EP,C,32,normal test
1807,normal_test_EP_C_32_7,97.15895080566406,85.403564453125,1381.9155883789062,1215.1763305664062,2019-08-05 11:19:59.395,2019-08-05 11:20:11.402,7,2779.6544342041016,5559.308868408203,optxDahu1xcg,12.007,427.63914372370795,normal,test,EP,C,32,normal test
1850,normal_test_EP_C_32_8,97.01822662353516,85.26932525634766,1381.4949951171875,1203.7108154296875,2019-08-05 11:20:14.406,2019-08-05 11:20:26.412,8,2767.493362426758,5534.986724853516,optxDahu1xcg,12.006,425.7682096041166,normal,test,EP,C,32,normal test
1896,normal_test_EP_C_32_9,97.52423858642578,85.50463104248047,1401.0126647949219,1214.2347717285156,2019-08-05 11:20:30.418,2019-08-05 11:20:42.423,9,2798.2763061523438,5596.5526123046875,optxDahu1xcg,12.005,430.5040471003606,normal,test,EP,C,32,normal test
1938,normal_test_EP_C_32_10,97.5739517211914,85.35731506347656,1364.2249450683594,1272.8099670410156,2019-08-05 11:20:45.428,2019-08-05 11:20:57.433,10,2819.966178894043,5639.932357788086,optxDahu1xcg,12.005,433.84095059908356,normal,test,EP,C,32,normal test
1981,normal_test_EP_C_32_11,98.11800384521484,84.83036804199219,1409.6098937988281,1176.3042907714844,2019-08-05 11:21:00.438,2019-08-05 11:21:12.444,11,2768.8625564575195,5537.725112915039,optxDahu1xcg,12.006,425.9788548396184,normal,test,EP,C,32,normal test
2026,normal_test_EP_C_32_12,98.06554412841797,85.72761535644531,1416.0186157226562,1209.1112365722656,2019-08-05 11:21:16.449,2019-08-05 11:21:28.455,12,2808.923011779785,5617.84602355957,optxDahu1xcg,12.006,432.14200181227466,normal,test,EP,C,32,normal test
2069,normal_test_EP_C_32_13,97.9666976928711,85.57347869873047,1343.1160583496094,1288.5734558105469,2019-08-05 11:21:31.459,2019-08-05 11:21:43.465,13,2815.229690551758,5630.459381103516,optxDahu1xcg,12.006,433.1122600848858,normal,test,EP,C,32,normal test
