,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_PKG_all,RAPL_ENERGY_DRAM_all,Machine,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
222,normal_test_pbzip_C_32_1,71.10848236083984,66.14990997314453,839.5553283691406,828.6360168457031,2019-08-05 12:00:30.379,2019-08-05 12:00:38.385,1,1805.4497375488281,3610.8994750976562,optxDahu10xmix,8.006,200.60552639431424,normal,test,pbzip,C,32,normal test
253,normal_test_pbzip_C_32_2,72.90792846679688,64.86286926269531,833.0469055175781,814.2373657226562,2019-08-05 12:00:41.390,2019-08-05 12:00:49.396,2,1785.0550689697266,3570.110137939453,optxDahu10xmix,8.006,198.3394521077474,normal,test,pbzip,C,32,normal test
286,normal_test_pbzip_C_32_3,73.20169067382812,64.87384796142578,855.6194152832031,784.6887512207031,2019-08-05 12:00:53.402,2019-08-05 12:01:01.408,3,1778.3837051391602,3556.7674102783203,optxDahu10xmix,8.006,197.59818945990668,normal,test,pbzip,C,32,normal test
319,normal_test_pbzip_C_32_4,71.10227966308594,66.25138092041016,839.6244812011719,857.3772583007812,2019-08-05 12:01:05.415,2019-08-05 12:01:13.421,4,1834.3554000854492,3668.7108001708984,optxDahu10xmix,8.006,203.817266676161,normal,test,pbzip,C,32,normal test
351,normal_test_pbzip_C_32_5,64.48168182373047,89.05779266357422,750.600830078125,1108.02685546875,2019-08-05 12:01:16.426,2019-08-05 12:01:25.433,5,2012.1671600341797,4024.3343200683594,optxDahu10xmix,9.007,201.21671600341796,normal,test,pbzip,C,32,normal test
384,normal_test_pbzip_C_32_6,72.4188003540039,80.88819122314453,848.5574035644531,1007.7462463378906,2019-08-05 12:01:28.438,2019-08-05 12:01:37.445,6,2009.6106414794922,4019.2212829589844,optxDahu10xmix,9.007,200.96106414794923,normal,test,pbzip,C,32,normal test
418,normal_test_pbzip_C_32_7,62.02668762207031,57.895957946777344,763.9678344726562,769.0003356933594,2019-08-05 12:01:40.450,2019-08-05 12:01:47.455,7,1652.8908157348633,3305.7816314697266,optxDahu10xmix,7.005,206.6113519668579,normal,test,pbzip,C,32,normal test
449,normal_test_pbzip_C_32_8,77.63130950927734,60.50299835205078,894.4323425292969,799.630126953125,2019-08-05 12:01:51.461,2019-08-05 12:01:59.466,8,1832.19677734375,3664.3935546875,optxDahu10xmix,8.005,203.57741970486111,normal,test,pbzip,C,32,normal test
482,normal_test_pbzip_C_32_9,79.17399597167969,59.783538818359375,942.6923217773438,766.3391723632812,2019-08-05 12:02:03.473,2019-08-05 12:02:11.479,9,1847.989028930664,3695.978057861328,optxDahu10xmix,8.006,205.33211432562933,normal,test,pbzip,C,32,normal test
514,normal_test_pbzip_C_32_10,66.80816650390625,70.77059936523438,776.9248657226562,889.8177795410156,2019-08-05 12:02:15.484,2019-08-05 12:02:23.491,10,1804.3214111328125,3608.642822265625,optxDahu10xmix,8.007,200.48015679253473,normal,test,pbzip,C,32,normal test
