,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
290,normal_normal_LU_C_64_1,386.25146484375,387.67979431152344,3257.4147033691406,3250.5375061035156,2019-07-23 08:12:25.001,2019-07-23 08:12:51.022,1,7281.88346862793,14563.76693725586,patchxDahu28,26.021,539.3987754539207,normal,normal,LU,C,64,normal normal
375,normal_normal_LU_C_64_2,396.6733703613281,400.4887924194336,3361.3209838867188,3355.3207092285156,2019-07-23 08:12:54.028,2019-07-23 08:13:21.057,2,7513.803855895996,15027.607711791992,patchxDahu28,27.029,536.7002754211426,normal,normal,LU,C,64,normal normal
464,normal_normal_LU_C_64_3,401.00389099121094,398.9381637573242,3379.5589599609375,3373.0042724609375,2019-07-23 08:13:24.063,2019-07-23 08:13:51.093,3,7552.50528717041,15105.01057434082,patchxDahu28,27.03,539.464663369315,normal,normal,LU,C,64,normal normal
551,normal_normal_LU_C_64_4,387.1459503173828,388.1947326660156,3258.8932495117188,3252.950958251953,2019-07-23 08:13:54.098,2019-07-23 08:14:20.143,4,7287.18489074707,14574.36978149414,patchxDahu28,26.045,539.7914733886719,normal,normal,LU,C,64,normal normal
639,normal_normal_LU_C_64_5,388.9961624145508,389.8552551269531,3261.9209899902344,3257.7660522460938,2019-07-23 08:14:24.150,2019-07-23 08:14:50.196,5,7298.538459777832,14597.076919555664,patchxDahu28,26.046,540.6324785020616,normal,normal,LU,C,64,normal normal
723,normal_normal_LU_C_64_6,404.98693084716797,402.44456481933594,3365.39111328125,3357.0021057128906,2019-07-23 08:14:53.202,2019-07-23 08:15:20.255,6,7529.8247146606445,15059.649429321289,patchxDahu28,27.053,537.8446224757603,normal,normal,LU,C,64,normal normal
811,normal_normal_LU_C_64_7,407.07947540283203,398.83809661865234,3381.576873779297,3375.5427856445312,2019-07-23 08:15:23.261,2019-07-23 08:15:50.288,7,7563.0372314453125,15126.074462890625,patchxDahu28,27.027,540.2169451032366,normal,normal,LU,C,64,normal normal
899,normal_normal_LU_C_64_8,409.48193359375,399.5923843383789,3386.839813232422,3381.031219482422,2019-07-23 08:15:53.293,2019-07-23 08:16:20.345,8,7576.945350646973,15153.890701293945,patchxDahu28,27.052,541.2103821890695,normal,normal,LU,C,64,normal normal
987,normal_normal_LU_C_64_9,409.44229888916016,399.4010696411133,3381.433074951172,3374.242218017578,2019-07-23 08:16:23.350,2019-07-23 08:16:50.397,9,7564.518661499023,15129.037322998047,patchxDahu28,27.047,540.3227615356445,normal,normal,LU,C,64,normal normal
1074,normal_normal_LU_C_64_10,403.2209167480469,398.6470260620117,3347.3792419433594,3334.9151306152344,2019-07-23 08:16:52.408,2019-07-23 08:17:19.451,10,7484.162315368652,14968.324630737305,patchxDahu28,27.043,534.5830225263323,normal,normal,LU,C,64,normal normal
1163,normal_normal_LU_C_64_11,411.2356414794922,397.27144622802734,3378.4275512695312,3374.820343017578,2019-07-23 08:17:23.458,2019-07-23 08:17:50.482,11,7561.754981994629,15123.509963989258,patchxDahu28,27.024,540.1253558567593,normal,normal,LU,C,64,normal normal
