,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_PKG_all,RAPL_ENERGY_DRAM_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
146,normal_normal_CG_C_16_1,208.42507934570312,92.56285095214844,1621.0452270507812,1312.5154724121094,2019-06-19 13:31:13.356,2019-06-19 13:31:26.366,1,3234.548629760742,6469.097259521484,threadtest,13.01,231.03918784005302,normal,normal,CG,C,16,normal normal
193,normal_normal_CG_C_16_2,110.55120849609375,187.20826721191406,1319.2037963867188,1617.8819885253906,2019-06-19 13:31:29.371,2019-06-19 13:31:42.379,2,3234.845260620117,6469.690521240234,threadtest,13.008,231.0603757585798,normal,normal,CG,C,16,normal normal
241,normal_normal_CG_C_16_3,113.40696716308594,175.05925750732422,1351.0552673339844,1402.1481628417969,2019-06-19 13:31:46.384,2019-06-19 13:31:58.395,3,3041.6696548461914,6083.339309692383,threadtest,12.011,233.97458883432242,normal,normal,CG,C,16,normal normal
284,normal_normal_CG_C_16_4,221.6471176147461,98.27861022949219,1728.7340087890625,1450.7997741699219,2019-06-19 13:32:01.399,2019-06-19 13:32:15.409,4,3499.4595108032227,6998.919021606445,threadtest,14.01,233.29730072021485,normal,normal,CG,C,16,normal normal
333,normal_normal_CG_C_16_5,208.41202545166016,92.26348114013672,1631.523681640625,1365.7608947753906,2019-06-19 13:32:18.416,2019-06-19 13:32:31.426,5,3297.9600830078125,6595.920166015625,threadtest,13.01,235.5685773577009,normal,normal,CG,C,16,normal normal
378,normal_normal_CG_C_16_6,122.2858657836914,185.88992309570312,1439.8906860351562,1579.3385925292969,2019-06-19 13:32:34.430,2019-06-19 13:32:47.441,6,3327.4050674438477,6654.810134887695,threadtest,13.011,237.6717905317034,normal,normal,CG,C,16,normal normal
425,normal_normal_CG_C_16_7,115.93602752685547,185.8818130493164,1341.1015014648438,1624.832275390625,2019-06-19 13:32:50.446,2019-06-19 13:33:03.456,7,3267.7516174316406,6535.503234863281,threadtest,13.01,233.41082981654577,normal,normal,CG,C,16,normal normal
470,normal_normal_CG_C_16_8,122.38374328613281,186.6763153076172,1432.6376037597656,1608.2245178222656,2019-06-19 13:33:06.461,2019-06-19 13:33:19.470,8,3349.9221801757812,6699.8443603515625,threadtest,13.009,239.2801557268415,normal,normal,CG,C,16,normal normal
516,normal_normal_CG_C_16_9,208.01614379882812,92.59370422363281,1607.2769470214844,1383.7037353515625,2019-06-19 13:33:22.475,2019-06-19 13:33:35.483,9,3291.590530395508,6583.181060791016,threadtest,13.008,235.11360931396484,normal,normal,CG,C,16,normal normal
564,normal_normal_CG_C_16_10,115.28890991210938,188.57135009765625,1459.9839172363281,1613.3308410644531,2019-06-19 13:33:39.490,2019-06-19 13:33:52.500,10,3377.175018310547,6754.350036621094,threadtest,13.01,241.22678702218192,normal,normal,CG,C,16,normal normal
611,normal_normal_CG_C_16_11,114.66934204101562,187.1686019897461,1353.4386596679688,1620.9747619628906,2019-06-19 13:33:55.505,2019-06-19 13:34:08.516,11,3276.251365661621,6552.502731323242,threadtest,13.011,234.0179546901158,normal,normal,CG,C,16,normal normal
658,normal_normal_CG_C_16_12,208.6046905517578,92.21218872070312,1625.8143310546875,1356.2261047363281,2019-06-19 13:34:12.521,2019-06-19 13:34:25.531,12,3282.8573150634766,6565.714630126953,threadtest,13.01,234.48980821881975,normal,normal,CG,C,16,normal normal
705,normal_normal_CG_C_16_13,123.68189239501953,185.02479553222656,1376.2005615234375,1489.8354797363281,2019-06-19 13:34:28.535,2019-06-19 13:34:41.546,13,3174.7427291870117,6349.485458374023,threadtest,13.011,226.76733779907227,normal,normal,CG,C,16,normal normal
751,normal_normal_CG_C_16_14,208.77127838134766,92.67158508300781,1583.067138671875,1396.4830627441406,2019-06-19 13:34:44.551,2019-06-19 13:34:57.559,14,3280.993064880371,6561.986129760742,threadtest,13.008,234.35664749145508,normal,normal,CG,C,16,normal normal
798,normal_normal_CG_C_16_15,209.20983123779297,99.76947784423828,1587.67578125,1319.6867065429688,2019-06-19 13:35:01.569,2019-06-19 13:35:14.578,15,3216.341796875,6432.68359375,threadtest,13.009,229.73869977678572,normal,normal,CG,C,16,normal normal
845,normal_normal_CG_C_16_16,208.8313446044922,92.24169158935547,1633.8078918457031,1326.882080078125,2019-06-19 13:35:17.583,2019-06-19 13:35:30.593,16,3261.763008117676,6523.526016235352,threadtest,13.01,232.9830720084054,normal,normal,CG,C,16,normal normal
