,RAPL_ENERGY_DRAM_0,"RAPL_ENERGY_DRAM_0
",RAPL_ENERGY_DRAM_1,"RAPL_ENERGY_DRAM_1
",RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_0,"RAPL_ENERGY_PKG_0
",RAPL_ENERGY_PKG_1,"RAPL_ENERGY_PKG_1
",RAPL_ENERGY_PKG_all,begin,end,entryNumber,machineName,target,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
149,208.0039291381836,,47.540977478027344,,2377.7428131103516,1477.3261413574219,,644.8717651367188,,4755.485626220703,2019-07-15 08:49:02.704,2019-07-15 08:49:14.712,1,50pbistest,cstates_oneCPU_CG_C_32_1,12.008,365.80658663236176,cstates,oneCPU,CG,C,32,cstates oneCPU
193,194.07415008544922,,43.643890380859375,,2192.3684005737305,1379.1498718261719,,575.50048828125,,4384.736801147461,2019-07-15 08:49:17.716,2019-07-15 08:49:28.723,2,50pbistest,cstates_oneCPU_CG_C_32_2,11.007,365.3947334289551,cstates,oneCPU,CG,C,32,cstates oneCPU
232,208.4380874633789,,47.76874542236328,,2368.576400756836,1483.5946350097656,,628.7749328613281,,4737.152801513672,2019-07-15 08:49:31.727,2019-07-15 08:49:43.734,3,50pbistest,cstates_oneCPU_CG_C_32_3,12.007,364.3963693472055,cstates,oneCPU,CG,C,32,cstates oneCPU
275,195.84393310546875,,43.693992614746094,,2200.83016204834,1381.0447998046875,,580.2474365234375,,4401.66032409668,2019-07-15 08:49:46.738,2019-07-15 08:49:57.745,4,50pbistest,cstates_oneCPU_CG_C_32_4,11.007,366.80502700805664,cstates,oneCPU,CG,C,32,cstates oneCPU
315,194.88756561279297,,43.70690155029297,,2201.8594818115234,1381.3868103027344,,581.8782043457031,,4403.718963623047,2019-07-15 08:50:00.749,2019-07-15 08:50:11.756,5,50pbistest,cstates_oneCPU_CG_C_32_5,11.007,366.9765803019206,cstates,oneCPU,CG,C,32,cstates oneCPU
356,192.61711883544922,,43.777740478515625,,2188.56649017334,1368.6622924804688,,583.5093383789062,,4377.13298034668,2019-07-15 08:50:14.760,2019-07-15 08:50:25.766,6,50pbistest,cstates_oneCPU_CG_C_32_6,11.006,364.76108169555664,cstates,oneCPU,CG,C,32,cstates oneCPU
398,196.42591857910156,,43.67979431152344,,2205.5487365722656,1382.6234130859375,,582.8196105957031,,4411.097473144531,2019-07-15 08:50:29.771,2019-07-15 08:50:40.778,7,50pbistest,cstates_oneCPU_CG_C_32_7,11.007,367.5914560953776,cstates,oneCPU,CG,C,32,cstates oneCPU
438,193.65865325927734,,43.733367919921875,,2196.107353210449,1379.74755859375,,578.9677734375,,4392.214706420898,2019-07-15 08:50:43.782,2019-07-15 08:50:54.789,8,50pbistest,cstates_oneCPU_CG_C_32_8,11.007,366.0178922017415,cstates,oneCPU,CG,C,32,cstates oneCPU
477,209.7201690673828,,47.757904052734375,,2369.3981170654297,1488.7676696777344,,623.1523742675781,,4738.796234130859,2019-07-15 08:50:57.794,2019-07-15 08:51:09.803,9,50pbistest,cstates_oneCPU_CG_C_32_9,12.009,364.5227872408353,cstates,oneCPU,CG,C,32,cstates oneCPU
520,196.246826171875,,43.62128448486328,,2196.707405090332,1383.1740417480469,,573.6652526855469,,4393.414810180664,2019-07-15 08:51:12.807,2019-07-15 08:51:23.815,10,50pbistest,cstates_oneCPU_CG_C_32_10,11.008,366.1179008483887,cstates,oneCPU,CG,C,32,cstates oneCPU
