,benchmark,cpu,mode1,mode2,target
1449,EP,11725.63705444336,C-states Off,normal,cstates_normal_EP_B_1_50
1437,EP,11728.122619628906,C-states Off,normal,cstates_normal_EP_B_1_38
1436,EP,11740.218841552734,C-states Off,normal,cstates_normal_EP_B_1_37
1435,EP,11732.294952392578,C-states Off,normal,cstates_normal_EP_B_1_36
1434,EP,11707.741638183594,C-states Off,normal,cstates_normal_EP_B_1_35
1433,EP,11708.928100585938,C-states Off,normal,cstates_normal_EP_B_1_34
1432,EP,11711.47412109375,C-states Off,normal,cstates_normal_EP_B_1_33
1431,EP,11733.269653320312,C-states Off,normal,cstates_normal_EP_B_1_32
1430,EP,11579.77294921875,C-states Off,normal,cstates_normal_EP_B_1_31
1429,EP,11694.107879638672,C-states Off,normal,cstates_normal_EP_B_1_30
1428,EP,11687.769165039062,C-states Off,normal,cstates_normal_EP_B_1_29
1427,EP,11707.932525634766,C-states Off,normal,cstates_normal_EP_B_1_28
1426,EP,11688.61474609375,C-states Off,normal,cstates_normal_EP_B_1_27
1425,EP,11696.693969726562,C-states Off,normal,cstates_normal_EP_B_1_26
1424,EP,11686.782470703125,C-states Off,normal,cstates_normal_EP_B_1_25
1423,EP,11604.724700927734,C-states Off,normal,cstates_normal_EP_B_1_24
1422,EP,11678.098083496094,C-states Off,normal,cstates_normal_EP_B_1_23
1421,EP,11682.333984375,C-states Off,normal,cstates_normal_EP_B_1_22
1438,EP,11669.937316894531,C-states Off,normal,cstates_normal_EP_B_1_39
1439,EP,11607.74380493164,C-states Off,normal,cstates_normal_EP_B_1_40
1440,EP,11611.7802734375,C-states Off,normal,cstates_normal_EP_B_1_41
1441,EP,11601.313415527344,C-states Off,normal,cstates_normal_EP_B_1_42
1459,EP,11719.651245117188,C-states Off,normal,cstates_normal_EP_B_1_60
1458,EP,11607.93685913086,C-states Off,normal,cstates_normal_EP_B_1_59
1457,EP,11610.172302246094,C-states Off,normal,cstates_normal_EP_B_1_58
1456,EP,11625.20199584961,C-states Off,normal,cstates_normal_EP_B_1_57
1455,EP,11638.187927246094,C-states Off,normal,cstates_normal_EP_B_1_56
1454,EP,11626.276245117188,C-states Off,normal,cstates_normal_EP_B_1_55
1453,EP,11688.442840576172,C-states Off,normal,cstates_normal_EP_B_1_54
1452,EP,11600.151794433594,C-states Off,normal,cstates_normal_EP_B_1_53
1420,EP,11685.275177001953,C-states Off,normal,cstates_normal_EP_B_1_21
1451,EP,11608.735931396484,C-states Off,normal,cstates_normal_EP_B_1_52
801,CG,1974.440856933593,C-states Off,normal,cstates_normal_CG_C_32_2
1448,EP,11716.630126953125,C-states Off,normal,cstates_normal_EP_B_1_49
1447,EP,11715.738647460938,C-states Off,normal,cstates_normal_EP_B_1_48
1446,EP,11674.62582397461,C-states Off,normal,cstates_normal_EP_B_1_47
1445,EP,11711.276550292969,C-states Off,normal,cstates_normal_EP_B_1_46
1444,EP,11576.925018310547,C-states Off,normal,cstates_normal_EP_B_1_45
1443,EP,11693.15478515625,C-states Off,normal,cstates_normal_EP_B_1_44
1442,EP,11606.010803222656,C-states Off,normal,cstates_normal_EP_B_1_43
1450,EP,11583.163116455078,C-states Off,normal,cstates_normal_EP_B_1_51
1419,EP,11691.368225097656,C-states Off,normal,cstates_normal_EP_B_1_20
1418,EP,11709.690948486328,C-states Off,normal,cstates_normal_EP_B_1_19
1417,EP,11738.85513305664,C-states Off,normal,cstates_normal_EP_B_1_18
205,LU,6741.373321533203,C-states Off,normal,cstates_normal_LU_C_64_6
206,LU,6502.8358154296875,C-states Off,normal,cstates_normal_LU_C_64_7
207,LU,6512.596160888672,C-states Off,normal,cstates_normal_LU_C_64_8
208,LU,6511.741485595703,C-states Off,normal,cstates_normal_LU_C_64_9
209,LU,6513.175689697266,C-states Off,normal,cstates_normal_LU_C_64_10
210,LU,6513.238067626953,C-states Off,normal,cstates_normal_LU_C_64_11
211,LU,6495.347198486328,C-states Off,normal,cstates_normal_LU_C_64_12
212,LU,6753.179748535156,C-states Off,normal,cstates_normal_LU_C_64_13
204,LU,6515.719390869141,C-states Off,normal,cstates_normal_LU_C_64_5
213,LU,6754.524993896484,C-states Off,normal,cstates_normal_LU_C_64_14
215,LU,6751.11767578125,C-states Off,normal,cstates_normal_LU_C_64_16
216,LU,6517.621551513672,C-states Off,normal,cstates_normal_LU_C_64_17
217,LU,6514.183868408203,C-states Off,normal,cstates_normal_LU_C_64_18
218,LU,6517.896392822266,C-states Off,normal,cstates_normal_LU_C_64_19
219,LU,6730.952728271484,C-states Off,normal,cstates_normal_LU_C_64_20
220,LU,6748.004455566406,C-states Off,normal,cstates_normal_LU_C_64_21
221,LU,6517.122985839844,C-states Off,normal,cstates_normal_LU_C_64_22
222,LU,6734.247650146484,C-states Off,normal,cstates_normal_LU_C_64_23
214,LU,6757.6595458984375,C-states Off,normal,cstates_normal_LU_C_64_15
1460,EP,11719.62335205078,C-states Off,normal,cstates_normal_EP_B_1_61
203,LU,6509.7783203125,C-states Off,normal,cstates_normal_LU_C_64_4
201,LU,6514.63916015625,C-states Off,normal,cstates_normal_LU_C_64_2
1416,EP,11720.608459472656,C-states Off,normal,cstates_normal_EP_B_1_17
1415,EP,11715.151428222656,C-states Off,normal,cstates_normal_EP_B_1_16
1414,EP,11664.833526611328,C-states Off,normal,cstates_normal_EP_B_1_15
1413,EP,11733.822204589844,C-states Off,normal,cstates_normal_EP_B_1_14
1412,EP,11692.683013916016,C-states Off,normal,cstates_normal_EP_B_1_13
1411,EP,11705.207275390625,C-states Off,normal,cstates_normal_EP_B_1_12
1410,EP,11722.96011352539,C-states Off,normal,cstates_normal_EP_B_1_11
1409,EP,11737.017639160156,C-states Off,normal,cstates_normal_EP_B_1_10
202,LU,6736.281311035156,C-states Off,normal,cstates_normal_LU_C_64_3
1408,EP,11755.974517822266,C-states Off,normal,cstates_normal_EP_B_1_9
1406,EP,11702.449157714844,C-states Off,normal,cstates_normal_EP_B_1_7
1405,EP,11686.63836669922,C-states Off,normal,cstates_normal_EP_B_1_6
1404,EP,11577.925750732422,C-states Off,normal,cstates_normal_EP_B_1_5
1403,EP,11613.828033447266,C-states Off,normal,cstates_normal_EP_B_1_4
1402,EP,11693.753509521484,C-states Off,normal,cstates_normal_EP_B_1_3
1401,EP,11665.804931640625,C-states Off,normal,cstates_normal_EP_B_1_2
1400,EP,11630.301300048828,C-states Off,normal,cstates_normal_EP_B_1_1
200,LU,6510.789276123047,C-states Off,normal,cstates_normal_LU_C_64_1
1407,EP,11760.431762695312,C-states Off,normal,cstates_normal_EP_B_1_8
1461,EP,11717.562561035156,C-states Off,normal,cstates_normal_EP_B_1_62
1462,EP,11726.346160888672,C-states Off,normal,cstates_normal_EP_B_1_63
1463,EP,11718.107360839844,C-states Off,normal,cstates_normal_EP_B_1_64
373,LU,6751.751770019531,C-states Off,normal,cstates_normal_LU_C_64_50p_75
374,LU,6512.006408691406,C-states Off,normal,cstates_normal_LU_C_64_50p_76
375,LU,6761.630798339844,C-states Off,normal,cstates_normal_LU_C_64_50p_77
376,LU,6756.199645996094,C-states Off,normal,cstates_normal_LU_C_64_50p_78
377,LU,6509.5286865234375,C-states Off,normal,cstates_normal_LU_C_64_50p_79
378,LU,6512.296783447266,C-states Off,normal,cstates_normal_LU_C_64_50p_8
379,LU,6749.895538330078,C-states Off,normal,cstates_normal_LU_C_64_50p_80
380,LU,6752.663879394531,C-states Off,normal,cstates_normal_LU_C_64_50p_81
372,LU,6742.778717041016,C-states Off,normal,cstates_normal_LU_C_64_50p_74
381,LU,6757.9251708984375,C-states Off,normal,cstates_normal_LU_C_64_50p_82
383,LU,6735.577972412109,C-states Off,normal,cstates_normal_LU_C_64_50p_84
384,LU,6510.042236328125,C-states Off,normal,cstates_normal_LU_C_64_50p_85
385,LU,6751.802673339844,C-states Off,normal,cstates_normal_LU_C_64_50p_86
386,LU,6753.417694091797,C-states Off,normal,cstates_normal_LU_C_64_50p_87
387,LU,6762.513458251953,C-states Off,normal,cstates_normal_LU_C_64_50p_88
388,LU,6756.845123291016,C-states Off,normal,cstates_normal_LU_C_64_50p_89
389,LU,6725.730072021484,C-states Off,normal,cstates_normal_LU_C_64_50p_9
390,LU,6737.631652832031,C-states Off,normal,cstates_normal_LU_C_64_50p_90
382,LU,6734.671966552734,C-states Off,normal,cstates_normal_LU_C_64_50p_83
391,LU,6746.153411865234,C-states Off,normal,cstates_normal_LU_C_64_50p_91
371,LU,6756.005126953125,C-states Off,normal,cstates_normal_LU_C_64_50p_73
369,LU,6740.7554931640625,C-states Off,normal,cstates_normal_LU_C_64_50p_71
351,LU,6762.49169921875,C-states Off,normal,cstates_normal_LU_C_64_50p_55
352,LU,6744.4417724609375,C-states Off,normal,cstates_normal_LU_C_64_50p_56
353,LU,6760.138610839844,C-states Off,normal,cstates_normal_LU_C_64_50p_57
354,LU,6738.455657958984,C-states Off,normal,cstates_normal_LU_C_64_50p_58
355,LU,6763.241058349609,C-states Off,normal,cstates_normal_LU_C_64_50p_59
356,LU,6749.974304199219,C-states Off,normal,cstates_normal_LU_C_64_50p_6
357,LU,6756.907409667969,C-states Off,normal,cstates_normal_LU_C_64_50p_60
358,LU,6737.180389404297,C-states Off,normal,cstates_normal_LU_C_64_50p_61
370,LU,6748.120391845703,C-states Off,normal,cstates_normal_LU_C_64_50p_72
359,LU,6760.253723144531,C-states Off,normal,cstates_normal_LU_C_64_50p_62
361,LU,6512.232238769531,C-states Off,normal,cstates_normal_LU_C_64_50p_64
362,LU,6758.697509765625,C-states Off,normal,cstates_normal_LU_C_64_50p_65
363,LU,6756.194274902344,C-states Off,normal,cstates_normal_LU_C_64_50p_66
364,LU,6730.066833496094,C-states Off,normal,cstates_normal_LU_C_64_50p_67
365,LU,6988.859344482422,C-states Off,normal,cstates_normal_LU_C_64_50p_68
366,LU,6759.251617431641,C-states Off,normal,cstates_normal_LU_C_64_50p_69
367,LU,6746.8692626953125,C-states Off,normal,cstates_normal_LU_C_64_50p_7
368,LU,6759.265380859375,C-states Off,normal,cstates_normal_LU_C_64_50p_70
360,LU,6741.448181152344,C-states Off,normal,cstates_normal_LU_C_64_50p_63
223,LU,6744.269744873047,C-states Off,normal,cstates_normal_LU_C_64_24
392,LU,6758.831298828125,C-states Off,normal,cstates_normal_LU_C_64_50p_92
394,LU,6765.308135986328,C-states Off,normal,cstates_normal_LU_C_64_50p_94
1481,EP,11599.950012207031,C-states Off,normal,cstates_normal_EP_B_1_82
1480,EP,11581.143585205078,C-states Off,normal,cstates_normal_EP_B_1_81
1479,EP,11600.808654785156,C-states Off,normal,cstates_normal_EP_B_1_80
1478,EP,11710.112823486328,C-states Off,normal,cstates_normal_EP_B_1_79
1477,EP,11702.08526611328,C-states Off,normal,cstates_normal_EP_B_1_78
1476,EP,11715.593811035156,C-states Off,normal,cstates_normal_EP_B_1_77
1475,EP,11696.034790039062,C-states Off,normal,cstates_normal_EP_B_1_76
1474,EP,11728.424285888672,C-states Off,normal,cstates_normal_EP_B_1_75
1482,EP,11601.420135498047,C-states Off,normal,cstates_normal_EP_B_1_83
1473,EP,11718.298034667969,C-states Off,normal,cstates_normal_EP_B_1_74
1471,EP,11721.31918334961,C-states Off,normal,cstates_normal_EP_B_1_72
1470,EP,11714.069091796875,C-states Off,normal,cstates_normal_EP_B_1_71
1469,EP,11707.455993652344,C-states Off,normal,cstates_normal_EP_B_1_70
1468,EP,11714.38525390625,C-states Off,normal,cstates_normal_EP_B_1_69
1467,EP,11700.233917236328,C-states Off,normal,cstates_normal_EP_B_1_68
1466,EP,11715.223602294922,C-states Off,normal,cstates_normal_EP_B_1_67
1465,EP,11708.06869506836,C-states Off,normal,cstates_normal_EP_B_1_66
1464,EP,11718.75164794922,C-states Off,normal,cstates_normal_EP_B_1_65
1472,EP,11741.282104492188,C-states Off,normal,cstates_normal_EP_B_1_73
393,LU,7252.3626708984375,C-states Off,normal,cstates_normal_LU_C_64_50p_93
1483,EP,11598.269897460938,C-states Off,normal,cstates_normal_EP_B_1_84
1485,EP,11608.219482421875,C-states Off,normal,cstates_normal_EP_B_1_86
395,LU,7230.898620605469,C-states Off,normal,cstates_normal_LU_C_64_50p_95
396,LU,6742.292816162109,C-states Off,normal,cstates_normal_LU_C_64_50p_96
397,LU,6978.922637939453,C-states Off,normal,cstates_normal_LU_C_64_50p_97
398,LU,6758.759307861328,C-states Off,normal,cstates_normal_LU_C_64_50p_98
399,LU,6758.634582519531,C-states Off,normal,cstates_normal_LU_C_64_50p_99
1498,EP,11712.169677734375,C-states Off,normal,cstates_normal_EP_B_1_99
1497,EP,11714.436401367188,C-states Off,normal,cstates_normal_EP_B_1_98
1496,EP,11724.723419189453,C-states Off,normal,cstates_normal_EP_B_1_97
1484,EP,11605.562225341797,C-states Off,normal,cstates_normal_EP_B_1_85
