,target,benchmark,Job,RAPL,Os,sensor
0,normal_normal_CG_B_1_1,CG,20132.133620424152,31677.468048095703,8270.524897678055,dahu-25
1,normal_normal_CG_B_1_10,CG,19384.8464429594,30671.106964111328,2695.4517509732677,dahu-25
2,normal_normal_CG_B_1_11,CG,17625.41861331788,29677.083099365234,11420.846748376829,dahu-25
3,normal_normal_CG_B_1_12,CG,20235.46497599853,31854.05615234375,4557.402597273513,dahu-25
4,normal_normal_CG_B_1_13,CG,20114.449608314022,31710.505310058594,4290.27627540626,dahu-25
5,normal_normal_CG_B_1_14,CG,19732.576210603496,31195.639099121094,3735.8289956186627,dahu-25
6,normal_normal_CG_B_1_15,CG,20257.93617909485,31712.092346191406,4646.058195499949,dahu-25
7,normal_normal_CG_B_1_16,CG,18219.45532988448,29828.139373779297,11441.337519088835,dahu-25
8,normal_normal_CG_B_1_17,CG,20493.243637035463,32099.386871337887,4382.522599262322,dahu-25
9,normal_normal_CG_B_1_18,CG,20450.42394335572,32086.255432128906,4262.621221557907,dahu-25
10,normal_normal_CG_B_1_19,CG,20068.026833864547,31534.418243408203,4782.192887665478,dahu-25
11,normal_normal_CG_B_1_2,CG,20261.788867006064,31820.48937988281,4566.394021938133,dahu-25
12,normal_normal_CG_B_1_20,CG,19966.569307589732,31503.140075683594,3315.2499331982153,dahu-25
13,normal_normal_CG_B_1_21,CG,20503.807390989066,32055.843383789062,4427.309443865084,dahu-25
14,normal_normal_CG_B_1_22,CG,17686.388974036967,29107.26992797852,10933.680711564943,dahu-25
15,normal_normal_CG_B_1_23,CG,17841.45491891868,29283.649658203125,11356.447129468921,dahu-25
16,normal_normal_CG_B_1_24,CG,19959.693593628766,31537.075958251957,3146.599072399744,dahu-25
17,normal_normal_CG_B_1_25,CG,17088.612665279958,28619.670562744137,11119.273305751572,dahu-25
18,normal_normal_CG_B_1_26,CG,19512.04182070093,30857.74810791016,3142.069791284327,dahu-25
19,normal_normal_CG_B_1_27,CG,17459.295770796492,29134.569488525387,11443.924364540493,dahu-25
20,normal_normal_CG_B_1_28,CG,19415.844395609143,30704.313812255863,2243.4247920358807,dahu-25
21,normal_normal_CG_B_1_29,CG,19301.802698341395,30623.898010253906,1426.4132782583943,dahu-25
22,normal_normal_CG_B_1_3,CG,20423.117491858167,32006.71484375,4637.500295629203,dahu-25
23,normal_normal_CG_B_1_30,CG,19037.59369248258,30204.917755126957,1426.0647692112293,dahu-25
24,normal_normal_CG_B_1_4,CG,17765.378196345133,29152.14813232422,11259.195330640807,dahu-25
25,normal_normal_CG_B_1_5,CG,20144.75226502934,31600.70526123047,4229.848840312095,dahu-25
26,normal_normal_CG_B_1_6,CG,20130.304040184667,31557.756011962887,4397.5273144554685,dahu-25
27,normal_normal_CG_B_1_7,CG,20232.362098720463,31762.736206054688,4105.111843930338,dahu-25
28,normal_normal_CG_B_1_8,CG,20364.24476804866,31911.870391845703,4210.728408041847,dahu-25
29,normal_normal_CG_B_1_9,CG,20277.339475287336,31791.199981689453,4200.652158241577,dahu-25
30,normal_normal_EP_B_1_1,EP,6665.880652135313,11321.041412353516,759.1301670723351,dahu-25
31,normal_normal_EP_B_1_2,EP,6898.19333338226,11418.81671142578,775.0921667498953,dahu-25
32,normal_normal_EP_B_1_3,EP,6947.5777014349605,11428.28680419922,726.3137476352078,dahu-25
33,normal_normal_EP_B_1_4,EP,5449.627886900299,9376.958862304688,3875.3019971246877,dahu-25
34,normal_normal_EP_B_1_5,EP,6229.255424564282,9553.887420654295,1039.6776333851649,dahu-25
35,normal_normal_LU_A_1_1,LU,9341.05829474121,17072.88165283203,1881.9568224935451,dahu-25
36,normal_normal_LU_A_1_10,LU,9591.062933083598,15824.03680419922,731.8754352603912,dahu-25
37,normal_normal_LU_A_1_11,LU,10158.124066152004,16533.032958984375,1451.3492176401278,dahu-25
