,Job,Os,RAPL,benchmark
0 CG,1064.1421631443975,4030.4623154752285,955.0123109143125,CG
0 EP,905.4089550651495,1518.3136615378999,1219.1046437730397,EP
0 LU,1499.3516283892905,1092.1077173824274,1449.7339292996812,LU
1 CG,1037.2374925923364,3742.5249844781197,793.3108156636189,CG
1 EP,879.9470116273261,1436.8687574932899,1122.471839197476,EP
1 LU,1197.9348431535434,2201.2158512549763,1406.2972738210021,LU
2 CG,1297.1119623942889,3464.5964998679865,841.4007534052206,CG
2 EP,906.1604931745628,1492.94706503975,1144.058403881183,EP
2 LU,678.1445358133291,2884.7158591657267,809.1881349463945,LU
3 CG,1298.8277306575783,4240.274637030882,916.6330286933312,CG
3 EP,1002.593393522579,1388.653922972598,1272.700148911333,EP
3 LU,1509.320754144009,3201.4837057244877,1485.513495710933,LU
4 CG,1031.5317835148555,5439.431112996194,1002.2175094067205,CG
4 EP,902.2679331503147,1558.5773051042738,1219.9079259719606,EP
4 LU,1608.8223064233548,3480.267546655054,1832.0242912126264,LU
5 CG,1139.0949090335073,4158.752576393531,870.043353050999,CG
5 EP,1044.5756078321165,1608.8963751495162,1093.8329946098454,EP
5 LU,1628.271363741183,3071.054103733316,2355.4099149544463,LU
6 CG,1358.3994146371683,4204.742344962777,1001.2038105057472,CG
6 EP,706.2431222414731,1274.8838650759765,1019.2828367590243,EP
6 LU,866.3647619005482,1722.933804798778,1228.3288685011892,LU
7 CG,1264.7463053134363,2516.557976378671,784.7765626377269,CG
7 EP,823.2309754448734,1274.975682731773,1040.1537334528903,EP
7 LU,1555.327448332395,3615.1338270201377,1794.2121899501815,LU
8 CG,1109.2822362443603,4038.1430760496314,732.7005337114402,CG
8 EP,808.004789972174,1059.7287969213826,942.4608700511365,EP
8 LU,1363.079819024005,2164.8271512955525,1815.4714529301957,LU
9 CG,1235.2717539459327,3031.093840087362,821.0902915367203,CG
9 EP,937.8389889046897,1427.1795131764122,1014.1580190399775,EP
9 LU,1810.5408412473578,1553.474950010706,2139.4325741186467,LU
10 CG,1205.326906774954,4783.343786518266,847.5536027848756,CG
10 EP,963.0406813574323,1598.3395698767,1173.5499661012045,EP
10 LU,958.1722532814615,1353.196970366669,1491.8512186976504,LU
11 CG,1175.1414774922584,2544.9002430633236,602.7846806971322,CG
11 EP,881.4736459125648,1404.8655409594944,1051.8004304986468,EP
11 LU,1416.1226136339249,1599.6578609747135,1765.64579162641,LU
12 CG,1132.7751931713437,3286.4309501581624,726.60056804838,CG
12 EP,859.9679847533954,1231.7883586256821,1042.2405408973962,EP
12 LU,1530.0391107531527,1666.6942911348344,2012.8151404280595,LU
13 CG,1178.6967857007214,4980.596999340068,1006.5430011034733,CG
13 EP,1020.7465901674672,1570.946773718323,1207.4043454631108,EP
13 LU,1040.0964036560529,2356.986178633975,1445.7518189623406,LU
14 CG,1177.6383191143982,4328.045517458791,745.3470177412364,CG
14 EP,713.3503319784829,1052.7593196430844,940.0393179931474,EP
14 LU,1474.9962557864935,2998.520844943994,2029.0091148094484,LU
15 CG,1080.2114368987386,2791.508943463603,596.3152557411053,CG
15 EP,919.4652038422371,1656.0868879936756,1212.2239028924225,EP
15 LU,1706.7478194529488,3016.747994495693,2318.0558965106065,LU
16 CG,1389.2272888393356,4563.714779303101,944.305511995096,CG
16 EP,912.8968053384895,1295.8838688853155,1163.4078264685636,EP
16 LU,1088.827014702489,1318.9495281813079,1518.262784186216,LU
17 CG,1192.121707633526,4268.35581126068,909.8551888497066,CG
17 EP,761.6031266061572,1092.218662525948,957.6881625079282,EP
17 LU,1205.86879780611,3041.7679385236556,1720.3260943740788,LU
18 CG,1154.9107944479656,4262.165997733486,818.3741827489854,CG
18 EP,879.8083738556104,1475.8527147640855,1161.040648153031,EP
18 LU,863.6227171377997,2319.563693730501,986.7177008809582,LU
19 CG,1213.7382893924212,3989.5542126902506,955.1489723204359,CG
19 EP,996.763719086648,1355.4447340138943,1044.5468363368295,EP
19 LU,1225.514562931085,944.0850927028301,1493.840079082962,LU
