target,begin,end,name,mode,mode2,benchmark,class,cpu number,p,number,sensor,cpu 0,cpu 1,dram 0,dram 1,cpu,dram
normal_normal_LU_C_40_1,2019-07-22 12:20:18.436,2019-07-22 12:21:10.485,normal_normal_LU_C_40_1,normal,normal,LU,C,40,1,1,Chetemi,3426.213104248047,3355.2276916503906,748.4528121948242,582.2936935424805,6781.4407958984375,1330.7465057373047
normal_normal_LU_C_40_10,2019-07-22 12:28:39.905,2019-07-22 12:29:31.952,normal_normal_LU_C_40_10,normal,normal,LU,C,40,10,10,Chetemi,3458.5835876464844,3397.087371826172,754.7587280273438,593.3264770507812,6855.670959472656,1348.085205078125
normal_normal_LU_C_40_11,2019-07-22 12:29:35.958,2019-07-22 12:30:28.006,normal_normal_LU_C_40_11,normal,normal,LU,C,40,11,11,Chetemi,3455.740936279297,3402.0077514648438,756.619026184082,587.1275253295898,6857.748687744141,1343.7465515136719
normal_normal_LU_C_40_12,2019-07-22 12:30:32.011,2019-07-22 12:31:25.057,normal_normal_LU_C_40_12,normal,normal,LU,C,40,12,12,Chetemi,3504.267364501953,3446.9266967773438,780.6894989013672,588.5997619628906,6951.194061279297,1369.2892608642578
normal_normal_LU_C_40_14,2019-07-22 12:32:20.108,2019-07-22 12:33:13.154,normal_normal_LU_C_40_14,normal,normal,LU,C,40,14,14,Chetemi,3518.9303283691406,3458.306396484375,775.6919021606445,590.269905090332,6977.236724853516,1365.9618072509766
normal_normal_LU_C_40_16,2019-07-22 12:34:09.209,2019-07-22 12:35:01.258,normal_normal_LU_C_40_16,normal,normal,LU,C,40,16,16,Chetemi,3471.2420043945312,3390.98681640625,617.7396392822266,722.9163589477539,6862.228820800781,1340.6559982299805
normal_normal_LU_C_40_17,2019-07-22 12:35:05.263,2019-07-22 12:35:57.313,normal_normal_LU_C_40_17,normal,normal,LU,C,40,17,17,Chetemi,3472.238525390625,3385.7530822753906,613.0274200439453,724.7700424194336,6857.991607666016,1337.797462463379
normal_normal_LU_C_40_18,2019-07-22 12:36:01.318,2019-07-22 12:36:53.368,normal_normal_LU_C_40_18,normal,normal,LU,C,40,18,18,Chetemi,3465.8916625976562,3379.4953002929688,613.5476150512695,723.4623718261719,6845.386962890625,1337.0099868774414
normal_normal_LU_C_40_19,2019-07-22 12:36:57.372,2019-07-22 12:37:50.419,normal_normal_LU_C_40_19,normal,normal,LU,C,40,19,19,Chetemi,3511.6602783203125,3437.7035522460938,775.1092834472656,590.0578918457031,6949.363830566406,1365.1671752929688
normal_normal_LU_C_40_2,2019-07-22 12:21:14.490,2019-07-22 12:22:07.540,normal_normal_LU_C_40_2,normal,normal,LU,C,40,2,2,Chetemi,3518.22021484375,3440.3307495117188,771.6343536376953,592.9863357543945,6958.550964355469,1364.6206893920898
normal_normal_LU_C_40_20,2019-07-22 12:37:54.425,2019-07-22 12:38:47.474,normal_normal_LU_C_40_20,normal,normal,LU,C,40,20,20,Chetemi,3510.775421142578,3437.241241455078,781.9566802978516,589.8834381103516,6948.016662597656,1371.8401184082031
normal_normal_LU_C_40_21,2019-07-22 12:38:50.478,2019-07-22 12:39:41.524,normal_normal_LU_C_40_21,normal,normal,LU,C,40,21,21,Chetemi,3380.3899536132812,3330.282684326172,730.3592224121094,598.2786636352539,6710.672637939453,1328.6378860473633
normal_normal_LU_C_40_22,2019-07-22 12:39:45.530,2019-07-22 12:40:37.576,normal_normal_LU_C_40_22,normal,normal,LU,C,40,22,22,Chetemi,3448.782684326172,3387.3692626953125,754.0110626220703,585.3010864257812,6836.151947021484,1339.3121490478516
normal_normal_LU_C_40_23,2019-07-22 12:40:41.586,2019-07-22 12:41:33.631,normal_normal_LU_C_40_23,normal,normal,LU,C,40,23,23,Chetemi,3453.6748657226562,3389.492950439453,757.7905502319336,589.8052749633789,6843.167816162109,1347.5958251953125
normal_normal_LU_C_40_25,2019-07-22 12:42:30.685,2019-07-22 12:43:23.731,normal_normal_LU_C_40_25,normal,normal,LU,C,40,25,25,Chetemi,3509.137237548828,3453.218475341797,769.7758712768555,600.5756378173828,6962.355712890625,1370.3515090942383
normal_normal_LU_C_40_26,2019-07-22 12:43:26.735,2019-07-22 12:44:19.783,normal_normal_LU_C_40_26,normal,normal,LU,C,40,26,26,Chetemi,3510.3680725097656,3445.3709411621094,767.4001235961914,604.9263763427734,6955.739013671875,1372.3264999389648
