,target,sensor,benchmark,mode,mode2,number,cpu
0,normal_normal_CG_C_32_1,runningmodesxDahu25,CG,normal,normal,1,1778.1261291503906
1,normal_normal_CG_C_32_10,runningmodesxDahu25,CG,normal,normal,10,1913.053955078125
2,normal_normal_CG_C_32_11,runningmodesxDahu25,CG,normal,normal,11,1917.202880859375
3,normal_normal_CG_C_32_12,runningmodesxDahu25,CG,normal,normal,12,1926.0648498535159
4,normal_normal_CG_C_32_13,runningmodesxDahu25,CG,normal,normal,13,1913.205322265625
5,normal_normal_CG_C_32_14,runningmodesxDahu25,CG,normal,normal,14,1945.7690124511719
6,normal_normal_CG_C_32_15,runningmodesxDahu25,CG,normal,normal,15,1914.5953674316406
7,normal_normal_CG_C_32_16,runningmodesxDahu25,CG,normal,normal,16,1908.0631408691406
8,normal_normal_CG_C_32_17,runningmodesxDahu25,CG,normal,normal,17,1910.8748474121094
9,normal_normal_CG_C_32_18,runningmodesxDahu25,CG,normal,normal,18,1912.5923156738281
10,normal_normal_CG_C_32_19,runningmodesxDahu25,CG,normal,normal,19,1907.1810302734373
11,normal_normal_CG_C_32_2,runningmodesxDahu25,CG,normal,normal,2,1925.2975158691406
12,normal_normal_CG_C_32_20,runningmodesxDahu25,CG,normal,normal,20,1905.183654785156
13,normal_normal_CG_C_32_21,runningmodesxDahu25,CG,normal,normal,21,1928.0694885253906
14,normal_normal_CG_C_32_22,runningmodesxDahu25,CG,normal,normal,22,1910.9783630371094
15,normal_normal_CG_C_32_23,runningmodesxDahu25,CG,normal,normal,23,1901.3158569335935
16,normal_normal_CG_C_32_24,runningmodesxDahu25,CG,normal,normal,24,1905.7618103027344
17,normal_normal_CG_C_32_25,runningmodesxDahu25,CG,normal,normal,25,1946.4355773925781
18,normal_normal_CG_C_32_26,runningmodesxDahu25,CG,normal,normal,26,1916.0901489257806
19,normal_normal_CG_C_32_27,runningmodesxDahu25,CG,normal,normal,27,1916.0218811035159
20,normal_normal_CG_C_32_28,runningmodesxDahu25,CG,normal,normal,28,1907.9569396972656
21,normal_normal_CG_C_32_29,runningmodesxDahu25,CG,normal,normal,29,1921.0957336425781
22,normal_normal_CG_C_32_3,runningmodesxDahu25,CG,normal,normal,3,1925.985595703125
23,normal_normal_CG_C_32_30,runningmodesxDahu25,CG,normal,normal,30,1903.2399291992188
24,normal_normal_CG_C_32_31,runningmodesxDahu25,CG,normal,normal,31,1925.188232421875
25,normal_normal_CG_C_32_32,runningmodesxDahu25,CG,normal,normal,32,1914.96728515625
26,normal_normal_CG_C_32_33,runningmodesxDahu25,CG,normal,normal,33,1931.485137939453
27,normal_normal_CG_C_32_34,runningmodesxDahu25,CG,normal,normal,34,1906.8377990722656
28,normal_normal_CG_C_32_35,runningmodesxDahu25,CG,normal,normal,35,1894.9840393066406
29,normal_normal_CG_C_32_36,runningmodesxDahu25,CG,normal,normal,36,1901.1315612792969
30,normal_normal_CG_C_32_37,runningmodesxDahu25,CG,normal,normal,37,1906.1195678710935
31,normal_normal_CG_C_32_38,runningmodesxDahu25,CG,normal,normal,38,1909.7151489257806
32,normal_normal_CG_C_32_39,runningmodesxDahu25,CG,normal,normal,39,1905.0826416015625
33,normal_normal_CG_C_32_4,runningmodesxDahu25,CG,normal,normal,4,1973.2618713378906
34,normal_normal_CG_C_32_40,runningmodesxDahu25,CG,normal,normal,40,1905.1624755859373
35,normal_normal_CG_C_32_41,runningmodesxDahu25,CG,normal,normal,41,1899.9332275390625
36,normal_normal_CG_C_32_42,runningmodesxDahu25,CG,normal,normal,42,1896.9274597167969
37,normal_normal_CG_C_32_43,runningmodesxDahu25,CG,normal,normal,43,1905.1938171386719
38,normal_normal_CG_C_32_44,runningmodesxDahu25,CG,normal,normal,44,1900.883544921875
39,normal_normal_CG_C_32_45,runningmodesxDahu25,CG,normal,normal,45,2048.824157714844
40,normal_normal_CG_C_32_46,runningmodesxDahu25,CG,normal,normal,46,1919.8796081542969
41,normal_normal_CG_C_32_47,runningmodesxDahu25,CG,normal,normal,47,1910.50048828125
42,normal_normal_CG_C_32_48,runningmodesxDahu25,CG,normal,normal,48,1900.3114318847656
43,normal_normal_CG_C_32_49,runningmodesxDahu25,CG,normal,normal,49,1900.1189880371094
44,normal_normal_CG_C_32_5,runningmodesxDahu25,CG,normal,normal,5,1932.7657165527344
45,normal_normal_CG_C_32_50,runningmodesxDahu25,CG,normal,normal,50,1927.3884887695312
46,normal_normal_CG_C_32_6,runningmodesxDahu25,CG,normal,normal,6,1771.9423217773438
47,normal_normal_CG_C_32_7,runningmodesxDahu25,CG,normal,normal,7,1766.404296875
48,normal_normal_CG_C_32_8,runningmodesxDahu25,CG,normal,normal,8,1755.2687072753906
49,normal_normal_CG_C_32_9,runningmodesxDahu25,CG,normal,normal,9,1909.7916564941406
50,normal_normal_EP_B_1_50p_1,runningmodesxDahu25,EP,normal,normal,1,7283.2579345703125
51,normal_normal_EP_B_1_50p_10,runningmodesxDahu25,EP,normal,normal,10,7887.299346923828
52,normal_normal_EP_B_1_50p_11,runningmodesxDahu25,EP,normal,normal,11,7780.450408935547
53,normal_normal_EP_B_1_50p_12,runningmodesxDahu25,EP,normal,normal,12,7500.416687011719
54,normal_normal_EP_B_1_50p_13,runningmodesxDahu25,EP,normal,normal,13,7475.873107910156
55,normal_normal_EP_B_1_50p_14,runningmodesxDahu25,EP,normal,normal,14,8386.254089355469
56,normal_normal_EP_B_1_50p_15,runningmodesxDahu25,EP,normal,normal,15,7550.76904296875
57,normal_normal_EP_B_1_50p_16,runningmodesxDahu25,EP,normal,normal,16,7903.416961669922
58,normal_normal_EP_B_1_50p_17,runningmodesxDahu25,EP,normal,normal,17,7380.184631347656
59,normal_normal_EP_B_1_50p_18,runningmodesxDahu25,EP,normal,normal,18,7578.560638427734
60,normal_normal_EP_B_1_50p_19,runningmodesxDahu25,EP,normal,normal,19,7877.414520263672
61,normal_normal_EP_B_1_50p_2,runningmodesxDahu25,EP,normal,normal,2,7453.286376953125
