state;target;timestamp
begin;docker_lu_1;1565652642
end;docker_lu_1;1565652666
begin;bin_lu_1;1565652671
end;bin_lu_1;1565652696
begin;docker_lu_2;1565652696
end;docker_lu_2;1565652721
begin;bin_lu_2;1565652726
end;bin_lu_2;1565652750
begin;docker_lu_3;1565652750
end;docker_lu_3;1565652775
begin;bin_lu_3;1565652780
end;bin_lu_3;1565652804
begin;docker_lu_4;1565652804
end;docker_lu_4;1565652829
begin;bin_lu_4;1565652834
end;bin_lu_4;1565652858
begin;docker_lu_5;1565652858
end;docker_lu_5;1565652884
begin;bin_lu_5;1565652889
end;bin_lu_5;1565652914
begin;docker_lu_6;1565652914
end;docker_lu_6;1565652939
begin;bin_lu_6;1565652944
end;bin_lu_6;1565652968
begin;docker_lu_7;1565652968
end;docker_lu_7;1565652994
begin;bin_lu_7;1565652999
end;bin_lu_7;1565653024
begin;docker_lu_8;1565653024
end;docker_lu_8;1565653050
begin;bin_lu_8;1565653055
end;bin_lu_8;1565653080
begin;docker_lu_9;1565653080
end;docker_lu_9;1565653105
begin;bin_lu_9;1565653110
end;bin_lu_9;1565653135
begin;docker_lu_10;1565653135
end;docker_lu_10;1565653160
begin;bin_lu_10;1565653165
end;bin_lu_10;1565653190
begin;docker_lu_11;1565653190
end;docker_lu_11;1565653218
begin;bin_lu_11;1565653223
end;bin_lu_11;1565653249
begin;docker_lu_12;1565653249
end;docker_lu_12;1565653274
begin;bin_lu_12;1565653279
end;bin_lu_12;1565653303
begin;docker_lu_13;1565653303
end;docker_lu_13;1565653328
begin;bin_lu_13;1565653333
end;bin_lu_13;1565653356
begin;docker_lu_14;1565653357
end;docker_lu_14;1565653384
begin;bin_lu_14;1565653389
end;bin_lu_14;1565653414
begin;docker_lu_15;1565653414
end;docker_lu_15;1565653440
begin;bin_lu_15;1565653445
end;bin_lu_15;1565653471
begin;docker_lu_16;1565653471
end;docker_lu_16;1565653496
begin;bin_lu_16;1565653501
end;bin_lu_16;1565653527
begin;docker_lu_17;1565653527
end;docker_lu_17;1565653552
begin;bin_lu_17;1565653557
end;bin_lu_17;1565653581
begin;docker_lu_18;1565653581
end;docker_lu_18;1565653609
begin;bin_lu_18;1565653614
end;bin_lu_18;1565653638
begin;docker_lu_19;1565653638
end;docker_lu_19;1565653664
begin;bin_lu_19;1565653669
end;bin_lu_19;1565653694
begin;docker_lu_20;1565653694
end;docker_lu_20;1565653719
begin;bin_lu_20;1565653724
end;bin_lu_20;1565653749
begin;docker_lu_21;1565653749
end;docker_lu_21;1565653775
begin;bin_lu_21;1565653780
end;bin_lu_21;1565653805
begin;docker_lu_22;1565653805
end;docker_lu_22;1565653830
begin;bin_lu_22;1565653835
end;bin_lu_22;1565653861
begin;docker_lu_23;1565653861
