state;target;timestamp
begin;docker_cg_1;1565182514
end;docker_cg_1;1565182524
begin;bin_cg_1;1565182529
end;bin_cg_1;1565182538
begin;docker_cg_2;1565182538
end;docker_cg_2;1565182548
begin;bin_cg_2;1565182553
end;bin_cg_2;1565182562
begin;docker_cg_3;1565182562
end;docker_cg_3;1565182572
begin;bin_cg_3;1565182577
end;bin_cg_3;1565182588
begin;docker_cg_4;1565182588
end;docker_cg_4;1565182598
begin;bin_cg_4;1565182603
end;bin_cg_4;1565182612
begin;docker_cg_5;1565182612
end;docker_cg_5;1565182623
begin;bin_cg_5;1565182628
end;bin_cg_5;1565182637
begin;docker_cg_6;1565182637
end;docker_cg_6;1565182647
begin;bin_cg_6;1565182652
end;bin_cg_6;1565182661
begin;docker_cg_7;1565182661
end;docker_cg_7;1565182671
begin;bin_cg_7;1565182676
end;bin_cg_7;1565182685
begin;docker_cg_8;1565182685
end;docker_cg_8;1565182696
begin;bin_cg_8;1565182701
end;bin_cg_8;1565182710
begin;docker_cg_9;1565182710
end;docker_cg_9;1565182720
begin;bin_cg_9;1565182725
end;bin_cg_9;1565182734
begin;docker_cg_10;1565182734
end;docker_cg_10;1565182745
begin;bin_cg_10;1565182750
end;bin_cg_10;1565182760
begin;docker_cg_11;1565182760
end;docker_cg_11;1565182771
begin;bin_cg_11;1565182776
end;bin_cg_11;1565182785
begin;docker_cg_12;1565182785
end;docker_cg_12;1565182796
begin;bin_cg_12;1565182801
end;bin_cg_12;1565182810
begin;docker_cg_13;1565182810
end;docker_cg_13;1565182820
begin;bin_cg_13;1565182825
end;bin_cg_13;1565182837
begin;docker_cg_14;1565182837
end;docker_cg_14;1565182848
begin;bin_cg_14;1565182853
end;bin_cg_14;1565182862
begin;docker_cg_15;1565182862
end;docker_cg_15;1565182872
begin;bin_cg_15;1565182877
end;bin_cg_15;1565182887
begin;docker_cg_16;1565182887
end;docker_cg_16;1565182897
begin;bin_cg_16;1565182902
end;bin_cg_16;1565182911
begin;docker_cg_17;1565182911
end;docker_cg_17;1565182922
begin;bin_cg_17;1565182927
end;bin_cg_17;1565182936
begin;docker_cg_18;1565182936
end;docker_cg_18;1565182946
begin;bin_cg_18;1565182951
end;bin_cg_18;1565182961
begin;docker_cg_19;1565182961
end;docker_cg_19;1565182971
begin;bin_cg_19;1565182976
end;bin_cg_19;1565182985
begin;docker_cg_20;1565182985
end;docker_cg_20;1565182996
begin;bin_cg_20;1565183001
end;bin_cg_20;1565183010
begin;docker_cg_21;1565183010
end;docker_cg_21;1565183020
begin;bin_cg_21;1565183025
end;bin_cg_21;1565183034
begin;docker_cg_22;1565183034
end;docker_cg_22;1565183045
begin;bin_cg_22;1565183050
end;bin_cg_22;1565183059
begin;docker_cg_23;1565183059
end;docker_cg_23;1565183069
begin;bin_cg_23;1565183074
end;bin_cg_23;1565183083
begin;docker_cg_24;1565183083
end;docker_cg_24;1565183094
begin;bin_cg_24;1565183099
end;bin_cg_24;1565183108
begin;docker_cg_25;1565183108
end;docker_cg_25;1565183118
begin;bin_cg_25;1565183123
end;bin_cg_25;1565183132
begin;docker_cg_26;1565183132
end;docker_cg_26;1565183143
begin;bin_cg_26;1565183148
end;bin_cg_26;1565183157
begin;docker_cg_27;1565183157
end;docker_cg_27;1565183167
begin;bin_cg_27;1565183172
end;bin_cg_27;1565183181
begin;docker_cg_28;1565183181
end;docker_cg_28;1565183192
begin;bin_cg_28;1565183197
end;bin_cg_28;1565183206
begin;docker_cg_29;1565183206
end;docker_cg_29;1565183217
begin;bin_cg_29;1565183222
end;bin_cg_29;1565183231
begin;docker_cg_30;1565183231
end;docker_cg_30;1565183241
begin;bin_cg_30;1565183246
end;bin_cg_30;1565183255
begin;docker_cg_31;1565183255
end;docker_cg_31;1565183266
begin;bin_cg_31;1565183271
end;bin_cg_31;1565183280
begin;docker_cg_32;1565183280
end;docker_cg_32;1565183290
begin;bin_cg_32;1565183295
end;bin_cg_32;1565183304
begin;docker_cg_33;1565183304
end;docker_cg_33;1565183315
begin;bin_cg_33;1565183320
end;bin_cg_33;1565183329
begin;docker_cg_34;1565183329
end;docker_cg_34;1565183340
begin;bin_cg_34;1565183345
end;bin_cg_34;1565183354
begin;docker_cg_35;1565183354
end;docker_cg_35;1565183364
begin;bin_cg_35;1565183369
end;bin_cg_35;1565183378
begin;docker_cg_36;1565183378
end;docker_cg_36;1565183389
begin;bin_cg_36;1565183394
end;bin_cg_36;1565183403
begin;docker_cg_37;1565183403
end;docker_cg_37;1565183414
begin;bin_cg_37;1565183419
end;bin_cg_37;1565183429
begin;docker_cg_38;1565183429
end;docker_cg_38;1565183439
begin;bin_cg_38;1565183444
end;bin_cg_38;1565183453
begin;docker_cg_39;1565183453
end;docker_cg_39;1565183463
begin;bin_cg_39;1565183468
end;bin_cg_39;1565183478
begin;docker_cg_40;1565183478
end;docker_cg_40;1565183488
begin;bin_cg_40;1565183493
end;bin_cg_40;1565183502
begin;docker_cg_41;1565183502
end;docker_cg_41;1565183513
begin;bin_cg_41;1565183518
end;bin_cg_41;1565183527
begin;docker_cg_42;1565183527
end;docker_cg_42;1565183537
begin;bin_cg_42;1565183542
end;bin_cg_42;1565183551
begin;docker_cg_43;1565183551
end;docker_cg_43;1565183562
begin;bin_cg_43;1565183567
end;bin_cg_43;1565183576
begin;docker_cg_44;1565183576
end;docker_cg_44;1565183586
begin;bin_cg_44;1565183591
end;bin_cg_44;1565183601
begin;docker_cg_45;1565183601
end;docker_cg_45;1565183611
begin;bin_cg_45;1565183616
end;bin_cg_45;1565183625
begin;docker_cg_46;1565183625
end;docker_cg_46;1565183635
begin;bin_cg_46;1565183640
end;bin_cg_46;1565183649
begin;docker_cg_47;1565183649
end;docker_cg_47;1565183659
begin;bin_cg_47;1565183664
end;bin_cg_47;1565183674
begin;docker_cg_48;1565183674
end;docker_cg_48;1565183684
begin;bin_cg_48;1565183689
end;bin_cg_48;1565183698
begin;docker_cg_49;1565183698
end;docker_cg_49;1565183708
begin;bin_cg_49;1565183713
end;bin_cg_49;1565183723
begin;docker_cg_50;1565183723
end;docker_cg_50;1565183733
begin;bin_cg_50;1565183738
end;bin_cg_50;1565183749
begin;docker_cg_51;1565183749
end;docker_cg_51;1565183759
begin;bin_cg_51;1565183764
end;bin_cg_51;1565183774
begin;docker_cg_52;1565183774
end;docker_cg_52;1565183784
begin;bin_cg_52;1565183789
end;bin_cg_52;1565183798
begin;docker_cg_53;1565183798
end;docker_cg_53;1565183808
begin;bin_cg_53;1565183813
end;bin_cg_53;1565183823
begin;docker_cg_54;1565183823
end;docker_cg_54;1565183833
begin;bin_cg_54;1565183838
end;bin_cg_54;1565183847
begin;docker_cg_55;1565183847
end;docker_cg_55;1565183858
begin;bin_cg_55;1565183863
end;bin_cg_55;1565183872
begin;docker_cg_56;1565183872
end;docker_cg_56;1565183882
begin;bin_cg_56;1565183887
end;bin_cg_56;1565183897
begin;docker_cg_57;1565183897
end;docker_cg_57;1565183907
begin;bin_cg_57;1565183912
end;bin_cg_57;1565183921
begin;docker_cg_58;1565183921
end;docker_cg_58;1565183932
begin;bin_cg_58;1565183937
end;bin_cg_58;1565183946
begin;docker_cg_59;1565183946
end;docker_cg_59;1565183956
begin;bin_cg_59;1565183961
end;bin_cg_59;1565183970
begin;docker_cg_60;1565183970
end;docker_cg_60;1565183981
begin;bin_cg_60;1565183986
end;bin_cg_60;1565183995
begin;docker_cg_61;1565183995
end;docker_cg_61;1565184005
