state;target;timestamp
begin;docker_cg_1;1565253113
end;docker_cg_1;1565253123
begin;bin_cg_1;1565253128
end;bin_cg_1;1565253137
begin;docker_cg_2;1565253137
end;docker_cg_2;1565253147
begin;bin_cg_2;1565253152
end;bin_cg_2;1565253161
begin;docker_cg_3;1565253161
end;docker_cg_3;1565253172
begin;bin_cg_3;1565253177
end;bin_cg_3;1565253187
begin;docker_cg_4;1565253187
end;docker_cg_4;1565253198
begin;bin_cg_4;1565253203
end;bin_cg_4;1565253212
begin;docker_cg_5;1565253212
end;docker_cg_5;1565253222
begin;bin_cg_5;1565253227
end;bin_cg_5;1565253236
begin;docker_cg_6;1565253236
end;docker_cg_6;1565253246
begin;bin_cg_6;1565253251
end;bin_cg_6;1565253260
begin;docker_cg_7;1565253260
end;docker_cg_7;1565253270
begin;bin_cg_7;1565253275
end;bin_cg_7;1565253284
begin;docker_cg_8;1565253284
end;docker_cg_8;1565253295
begin;bin_cg_8;1565253300
end;bin_cg_8;1565253309
begin;docker_cg_9;1565253309
end;docker_cg_9;1565253319
begin;bin_cg_9;1565253324
end;bin_cg_9;1565253333
begin;docker_cg_10;1565253333
end;docker_cg_10;1565253343
begin;bin_cg_10;1565253348
end;bin_cg_10;1565253357
begin;docker_cg_11;1565253357
end;docker_cg_11;1565253368
begin;bin_cg_11;1565253373
end;bin_cg_11;1565253381
begin;docker_cg_12;1565253381
end;docker_cg_12;1565253392
begin;bin_cg_12;1565253397
end;bin_cg_12;1565253406
begin;docker_cg_13;1565253406
end;docker_cg_13;1565253416
begin;bin_cg_13;1565253421
end;bin_cg_13;1565253430
begin;docker_cg_14;1565253430
end;docker_cg_14;1565253441
begin;bin_cg_14;1565253446
end;bin_cg_14;1565253455
begin;docker_cg_15;1565253455
end;docker_cg_15;1565253465
begin;bin_cg_15;1565253470
end;bin_cg_15;1565253481
begin;docker_cg_16;1565253481
end;docker_cg_16;1565253491
begin;bin_cg_16;1565253496
end;bin_cg_16;1565253505
begin;docker_cg_17;1565253505
end;docker_cg_17;1565253515
begin;bin_cg_17;1565253520
end;bin_cg_17;1565253529
begin;docker_cg_18;1565253529
end;docker_cg_18;1565253540
begin;bin_cg_18;1565253545
end;bin_cg_18;1565253554
begin;docker_cg_19;1565253554
end;docker_cg_19;1565253564
begin;bin_cg_19;1565253569
end;bin_cg_19;1565253578
begin;docker_cg_20;1565253578
end;docker_cg_20;1565253590
begin;bin_cg_20;1565253595
end;bin_cg_20;1565253604
begin;docker_cg_21;1565253604
end;docker_cg_21;1565253614
begin;bin_cg_21;1565253619
end;bin_cg_21;1565253628
begin;docker_cg_22;1565253628
end;docker_cg_22;1565253638
begin;bin_cg_22;1565253643
end;bin_cg_22;1565253652
begin;docker_cg_23;1565253652
end;docker_cg_23;1565253663
begin;bin_cg_23;1565253668
end;bin_cg_23;1565253677
begin;docker_cg_24;1565253677
end;docker_cg_24;1565253687
begin;bin_cg_24;1565253692
end;bin_cg_24;1565253701
begin;docker_cg_25;1565253701
end;docker_cg_25;1565253712
begin;bin_cg_25;1565253717
end;bin_cg_25;1565253726
begin;docker_cg_26;1565253726
end;docker_cg_26;1565253736
begin;bin_cg_26;1565253741
end;bin_cg_26;1565253750
begin;docker_cg_27;1565253750
end;docker_cg_27;1565253760
begin;bin_cg_27;1565253765
end;bin_cg_27;1565253775
begin;docker_cg_28;1565253775
end;docker_cg_28;1565253785
begin;bin_cg_28;1565253790
end;bin_cg_28;1565253799
begin;docker_cg_29;1565253799
end;docker_cg_29;1565253809
begin;bin_cg_29;1565253814
end;bin_cg_29;1565253823
