state;target;timestamp
begin;docker_ep_1;1565257093
end;docker_ep_1;1565257184
begin;bin_ep_1;1565257189
end;bin_ep_1;1565257259
begin;docker_ep_2;1565257259
end;docker_ep_2;1565257346
begin;bin_ep_2;1565257351
end;bin_ep_2;1565257421
begin;docker_ep_3;1565257421
end;docker_ep_3;1565257509
begin;bin_ep_3;1565257514
end;bin_ep_3;1565257585
begin;docker_ep_4;1565257585
end;docker_ep_4;1565257676
begin;bin_ep_4;1565257681
end;bin_ep_4;1565257751
begin;docker_ep_5;1565257751
end;docker_ep_5;1565257839
begin;bin_ep_5;1565257844
end;bin_ep_5;1565257915
begin;docker_ep_6;1565257915
end;docker_ep_6;1565258006
begin;bin_ep_6;1565258011
end;bin_ep_6;1565258082
begin;docker_ep_7;1565258082
end;docker_ep_7;1565258174
begin;bin_ep_7;1565258179
end;bin_ep_7;1565258250
begin;docker_ep_8;1565258250
end;docker_ep_8;1565258337
begin;bin_ep_8;1565258342
end;bin_ep_8;1565258413
begin;docker_ep_9;1565258413
end;docker_ep_9;1565258504
begin;bin_ep_9;1565258509
end;bin_ep_9;1565258579
begin;docker_ep_10;1565258579
end;docker_ep_10;1565258671
begin;bin_ep_10;1565258676
end;bin_ep_10;1565258746
begin;docker_ep_11;1565258746
end;docker_ep_11;1565258837
begin;bin_ep_11;1565258842
end;bin_ep_11;1565258913
begin;docker_ep_12;1565258913
end;docker_ep_12;1565259005
begin;bin_ep_12;1565259010
end;bin_ep_12;1565259080
begin;docker_ep_13;1565259080
end;docker_ep_13;1565259171
begin;bin_ep_13;1565259176
end;bin_ep_13;1565259246
begin;docker_ep_14;1565259246
end;docker_ep_14;1565259337
begin;bin_ep_14;1565259342
end;bin_ep_14;1565259412
begin;docker_ep_15;1565259412
end;docker_ep_15;1565259503
begin;bin_ep_15;1565259508
end;bin_ep_15;1565259578
begin;docker_ep_16;1565259578
end;docker_ep_16;1565259666
begin;bin_ep_16;1565259671
end;bin_ep_16;1565259741
begin;docker_ep_17;1565259741
end;docker_ep_17;1565259832
begin;bin_ep_17;1565259837
end;bin_ep_17;1565259907
begin;docker_ep_18;1565259907
end;docker_ep_18;1565259998
begin;bin_ep_18;1565260003
end;bin_ep_18;1565260074
begin;docker_ep_19;1565260074
end;docker_ep_19;1565260161
begin;bin_ep_19;1565260166
end;bin_ep_19;1565260237
begin;docker_ep_20;1565260237
end;docker_ep_20;1565260330
begin;bin_ep_20;1565260335
end;bin_ep_20;1565260404
begin;docker_ep_21;1565260405
end;docker_ep_21;1565260496
begin;bin_ep_21;1565260501
end;bin_ep_21;1565260571
begin;docker_ep_22;1565260571
end;docker_ep_22;1565260658
begin;bin_ep_22;1565260663
end;bin_ep_22;1565260733
begin;docker_ep_23;1565260733
end;docker_ep_23;1565260824
begin;bin_ep_23;1565260829
end;bin_ep_23;1565260899
begin;docker_ep_24;1565260899
end;docker_ep_24;1565260990
begin;bin_ep_24;1565260995
end;bin_ep_24;1565261065
begin;docker_ep_25;1565261065
end;docker_ep_25;1565261155
begin;bin_ep_25;1565261160
end;bin_ep_25;1565261231
begin;docker_ep_26;1565261231
end;docker_ep_26;1565261322
begin;bin_ep_26;1565261327
end;bin_ep_26;1565261397
begin;docker_ep_27;1565261397
end;docker_ep_27;1565261484
begin;bin_ep_27;1565261489
end;bin_ep_27;1565261559
begin;docker_ep_28;1565261559
end;docker_ep_28;1565261648
begin;bin_ep_28;1565261653
end;bin_ep_28;1565261724
begin;docker_ep_29;1565261724
end;docker_ep_29;1565261815
begin;bin_ep_29;1565261820
end;bin_ep_29;1565261891
begin;docker_ep_30;1565261891
end;docker_ep_30;1565261982
begin;bin_ep_30;1565261987
end;bin_ep_30;1565262057
