,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_PKG_all,RAPL_ENERGY_DRAM_all,Machine,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
89,normal_test_Stress_C_32_1,131.37635803222656,125.96003723144531,1975.1137084960938,1998.3467712402344,2019-08-05 13:25:16.060,2019-08-05 13:25:34.068,1,4230.796875,8461.59375,optxDahu3xng,18.008,222.6735197368421,normal,test,Stress,C,32,normal test
151,normal_test_Stress_C_32_2,131.83843231201172,126.02422332763672,2096.234130859375,1939.7641906738281,2019-08-05 13:25:38.072,2019-08-05 13:25:56.079,2,4293.860977172852,8587.721954345703,optxDahu3xng,18.007,225.99268300909745,normal,test,Stress,C,32,normal test
214,normal_test_Stress_C_32_3,131.93604278564453,126.46102905273438,2126.1300354003906,1932.9291076660156,2019-08-05 13:26:00.084,2019-08-05 13:26:18.092,3,4317.456214904785,8634.91242980957,optxDahu3xng,18.008,227.23453762656763,normal,test,Stress,C,32,normal test
277,normal_test_Stress_C_32_4,131.99413299560547,127.14818572998047,2116.6289978027344,1936.9229736328125,2019-08-05 13:26:22.097,2019-08-05 13:26:40.105,4,4312.694290161133,8625.388580322266,optxDahu3xng,18.008,226.98391000848068,normal,test,Stress,C,32,normal test
339,normal_test_Stress_C_32_5,138.74258422851562,134.06997680664062,2149.7896118164062,2152.3995666503906,2019-08-05 13:26:43.110,2019-08-05 13:27:02.118,5,4575.001739501953,9150.003479003906,optxDahu3xng,19.008,228.75008697509764,normal,test,Stress,C,32,normal test
403,normal_test_Stress_C_32_6,138.51353454589844,133.54855346679688,2143.3580322265625,2163.5294189453125,2019-08-05 13:27:05.123,2019-08-05 13:27:24.130,6,4578.94953918457,9157.89907836914,optxDahu3xng,19.007,228.9474769592285,normal,test,Stress,C,32,normal test
466,normal_test_Stress_C_32_7,139.56061553955078,133.716552734375,2268.3052673339844,2092.4217529296875,2019-08-05 13:27:27.135,2019-08-05 13:27:46.143,7,4634.004188537598,9268.008377075195,optxDahu3xng,19.008,231.7002094268799,normal,test,Stress,C,32,normal test
530,normal_test_Stress_C_32_8,139.55913543701172,133.6888427734375,2224.990234375,2118.7678833007812,2019-08-05 13:27:49.147,2019-08-05 13:28:08.155,8,4617.0060958862305,9234.012191772461,optxDahu3xng,19.008,230.8503047943115,normal,test,Stress,C,32,normal test
595,normal_test_Stress_C_32_9,139.82733917236328,133.59542083740234,2211.5174865722656,2177.7225646972656,2019-08-05 13:28:11.159,2019-08-05 13:28:30.168,9,4662.662811279297,9325.325622558594,optxDahu3xng,19.009,233.13314056396484,normal,test,Stress,C,32,normal test
658,normal_test_Stress_C_32_10,140.48407745361328,133.01959991455078,2321.5497131347656,2118.0711669921875,2019-08-05 13:28:33.173,2019-08-05 13:28:52.182,10,4713.124557495117,9426.249114990234,optxDahu3xng,19.009,235.65622787475587,normal,test,Stress,C,32,normal test
722,normal_test_Stress_C_32_11,140.34326934814453,133.1919937133789,2350.2435607910156,2065.7357788085938,2019-08-05 13:28:55.186,2019-08-05 13:29:14.195,11,4689.514602661133,9379.029205322266,optxDahu3xng,19.009,234.47573013305663,normal,test,Stress,C,32,normal test
786,normal_test_Stress_C_32_12,140.60082244873047,133.7529754638672,2219.456817626953,2190.965057373047,2019-08-05 13:29:17.199,2019-08-05 13:29:36.208,12,4684.775672912598,9369.551345825195,optxDahu3xng,19.009,234.2387836456299,normal,test,Stress,C,32,normal test
850,normal_test_Stress_C_32_13,133.44383239746094,126.15752410888672,2202.8463134765625,2069.0415954589844,2019-08-05 13:29:39.213,2019-08-05 13:29:57.220,13,4531.4892654418945,9062.978530883789,optxDahu3xng,18.007,238.4994350232576,normal,test,Stress,C,32,normal test
914,normal_test_Stress_C_32_14,133.4119415283203,126.20735168457031,2083.7488403320312,2035.2696533203125,2019-08-05 13:30:01.225,2019-08-05 13:30:19.232,14,4378.637786865234,8757.275573730469,optxDahu3xng,18.007,230.45462036132812,normal,test,Stress,C,32,normal test
976,normal_test_Stress_C_32_15,133.3290557861328,125.71488952636719,2084.1549682617188,2036.4221801757812,2019-08-05 13:30:23.237,2019-08-05 13:30:41.244,15,4379.62109375,8759.2421875,optxDahu3xng,18.007,230.50637335526315,normal,test,Stress,C,32,normal test
1037,normal_test_Stress_C_32_16,139.77019500732422,132.18898010253906,2127.8611450195312,2161.9496154785156,2019-08-05 13:30:44.251,2019-08-05 13:31:03.259,16,4561.76993560791,9123.53987121582,optxDahu3xng,19.008,228.0884967803955,normal,test,Stress,C,32,normal test
1101,normal_test_Stress_C_32_17,140.4832992553711,132.90435791015625,2292.433319091797,2069.0678100585938,2019-08-05 13:31:06.263,2019-08-05 13:31:25.272,17,4634.888786315918,9269.777572631836,optxDahu3xng,19.009,231.7444393157959,normal,test,Stress,C,32,normal test
1166,normal_test_Stress_C_32_18,140.58563995361328,132.95115661621094,2217.7297973632812,2194.418487548828,2019-08-05 13:31:28.276,2019-08-05 13:31:47.285,18,4685.685081481934,9371.370162963867,optxDahu3xng,19.009,234.28425407409668,normal,test,Stress,C,32,normal test
1229,normal_test_Stress_C_32_19,141.1565170288086,133.57817840576172,2327.1430053710938,2092.4065856933594,2019-08-05 13:31:50.290,2019-08-05 13:32:09.299,19,4694.284286499023,9388.568572998047,optxDahu3xng,19.009,234.71421432495117,normal,test,Stress,C,32,normal test
1293,normal_test_Stress_C_32_20,141.11673736572266,133.99408721923828,2344.074981689453,2057.2960815429688,2019-08-05 13:32:12.305,2019-08-05 13:32:31.312,20,4676.481887817383,9352.963775634766,optxDahu3xng,19.007,233.82409439086913,normal,test,Stress,C,32,normal test
1357,normal_test_Stress_B_1_1,141.2777557373047,71.125,1257.7294006347656,959.296875,2019-08-05 13:32:34.317,2019-08-05 13:32:53.331,1,2429.4290313720703,4858.858062744141,optxDahu3xng,19.014,121.47145156860351,normal,test,Stress,B,1,normal test
1421,normal_test_Stress_B_1_2,141.1449432373047,69.18946075439453,1234.0200500488281,940.1107482910156,2019-08-05 13:32:56.337,2019-08-05 13:33:15.351,2,2384.465202331543,4768.930404663086,optxDahu3xng,19.014,119.22326011657715,normal,test,Stress,B,1,normal test
1486,normal_test_Stress_B_1_3,133.8119354248047,65.55760955810547,1147.8507995605469,890.7283325195312,2019-08-05 13:33:18.357,2019-08-05 13:33:36.372,3,2237.9486770629883,4475.897354125977,optxDahu3xng,18.015,117.78677247699939,normal,test,Stress,B,1,normal test
1549,normal_test_Stress_B_1_4,73.66072845458984,125.24459838867188,950.6245727539062,1082.5072326660156,2019-08-05 13:33:40.380,2019-08-05 13:33:58.394,4,2232.0371322631836,4464.074264526367,optxDahu3xng,18.014,117.47563854016755,normal,test,Stress,B,1,normal test
1612,normal_test_Stress_B_1_5,73.70230102539062,125.52346801757812,941.9044189453125,1075.2588806152344,2019-08-05 13:34:02.399,2019-08-05 13:34:20.413,5,2216.3890686035156,4432.778137207031,optxDahu3xng,18.014,116.6520562422903,normal,test,Stress,B,1,normal test
1673,normal_test_Stress_B_1_6,77.5875473022461,131.33885955810547,985.4768371582031,1128.5928039550781,2019-08-05 13:34:23.418,2019-08-05 13:34:42.433,6,2322.996047973633,4645.992095947266,optxDahu3xng,19.015,116.14980239868164,normal,test,Stress,B,1,normal test
1736,normal_test_Stress_B_1_7,85.37210845947266,130.84486389160156,1122.3777465820312,1167.2884521484375,2019-08-05 13:34:45.437,2019-08-05 13:35:04.446,7,2505.883171081543,5011.766342163086,optxDahu3xng,19.009,125.29415855407714,normal,test,Stress,B,1,normal test
1801,normal_test_Stress_B_1_8,77.7583236694336,130.82857513427734,997.9583740234375,1123.9821166992188,2019-08-05 13:35:07.451,2019-08-05 13:35:26.465,8,2330.527389526367,4661.054779052734,optxDahu3xng,19.014,116.52636947631837,normal,test,Stress,B,1,normal test
1864,normal_test_Stress_B_1_9,77.36205291748047,131.63516998291016,1033.1938781738281,1145.9503784179688,2019-08-05 13:35:29.470,2019-08-05 13:35:48.480,9,2388.1414794921875,4776.282958984375,optxDahu3xng,19.01,119.40707397460938,normal,test,Stress,B,1,normal test
1929,normal_test_Stress_B_1_10,140.48635864257812,69.54985046386719,1234.03076171875,990.2096862792969,2019-08-05 13:35:51.485,2019-08-05 13:36:10.495,10,2434.276657104492,4868.553314208984,optxDahu3xng,19.01,121.71383285522461,normal,test,Stress,B,1,normal test
