,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
105,normal_normal_LU_C_64_1,514.2882385253906,460.8678207397461,5333.690734863281,5033.3717041015625,2019-07-18 15:19:02.757,2019-07-18 15:19:49.794,1,11342.21849822998,22684.43699645996,turboboost,47.037,472.5924374262492,normal,normal,LU,C,64,normal normal
253,normal_normal_LU_C_64_2,467.39730072021484,463.4305114746094,5257.525360107422,4969.573791503906,2019-07-18 15:19:52.799,2019-07-18 15:20:36.834,2,11157.926963806152,22315.853927612305,turboboost,44.035,495.90786505805124,normal,normal,LU,C,64,normal normal
391,normal_normal_LU_C_64_3,490.3789596557617,472.6922149658203,5553.371368408203,5014.404876708984,2019-07-18 15:20:39.838,2019-07-18 15:21:25.873,3,11530.84741973877,23061.69483947754,turboboost,46.035,490.67435828675616,normal,normal,LU,C,64,normal normal
536,normal_normal_LU_C_64_4,476.4359664916992,459.0296401977539,5431.676208496094,4999.5877685546875,2019-07-18 15:21:28.878,2019-07-18 15:22:12.913,4,11366.729583740234,22733.45916748047,turboboost,44.035,505.187981499566,normal,normal,LU,C,64,normal normal
676,normal_normal_LU_C_64_5,486.80567932128906,464.7484130859375,5521.5745849609375,5040.170196533203,2019-07-18 15:22:15.917,2019-07-18 15:23:00.950,5,11513.298873901367,23026.597747802734,turboboost,45.033,500.5782119087551,normal,normal,LU,C,64,normal normal
818,normal_normal_LU_C_64_6,485.66011810302734,474.6101531982422,5578.981872558594,5002.032928466797,2019-07-18 15:23:03.955,2019-07-18 15:23:48.987,6,11541.28507232666,23082.57014465332,turboboost,45.032,501.7950031446374,normal,normal,LU,C,64,normal normal
960,normal_normal_LU_C_64_7,494.60721588134766,464.8195266723633,5562.237213134766,5187.965850830078,2019-07-18 15:23:51.991,2019-07-18 15:24:37.023,7,11709.629806518555,23419.25961303711,turboboost,45.032,509.1143394138502,normal,normal,LU,C,64,normal normal
1101,normal_normal_LU_C_64_8,504.3858337402344,483.70281982421875,5563.257415771484,5255.267761230469,2019-07-18 15:24:40.028,2019-07-18 15:25:27.062,8,11806.613830566406,23613.227661132812,turboboost,47.034,491.9422429402669,normal,normal,LU,C,64,normal normal
1251,normal_normal_LU_C_64_9,480.7767562866211,459.3913116455078,5370.2933349609375,5025.905731201172,2019-07-18 15:25:31.067,2019-07-18 15:26:15.101,9,11336.367134094238,22672.734268188477,turboboost,44.034,503.83853929307725,normal,normal,LU,C,64,normal normal
1392,normal_normal_LU_C_64_10,495.45047760009766,466.2870101928711,5548.709411621094,5210.384368896484,2019-07-18 15:26:19.107,2019-07-18 15:27:04.141,10,11720.831268310547,23441.662536621094,turboboost,45.034,509.60135949176293,normal,normal,LU,C,64,normal normal
